2023-06-21,684
2023-06-22,664
2023-06-23,645
2023-06-24,659
2023-06-27,644
2023-06-28,639
2023-06-29,643
2023-06-30,640
2023-07-01,646
2023-07-04,618
2023-07-06,623
2023-07-07,628
2023-07-08,628
2023-07-11,634
2023-07-12,637
2023-07-13,642
2023-07-14,647
2023-07-15,647
2023-07-18,645
2023-07-19,651
2023-07-20,653
2023-07-21,669
2023-07-22,668
2023-07-25,665
2023-07-26,668
2023-07-27,665
2023-07-28,677
2023-07-29,682
2023-08-01,687
2023-08-02,698
2023-08-03,708
2023-08-04,711
2023-08-05,712
2023-08-08,711
2023-08-09,712
2023-08-10,708
2023-08-11,704
2023-08-12,707
2023-08-15,704
2023-08-16,706
2023-08-17,704
2023-08-18,693
2023-08-19,685
2023-08-22,686
2023-08-23,684
2023-08-24,680
2023-08-25,662
2023-08-26,662
2023-08-29,653
2023-08-30,651
2023-08-31,642
2023-09-01,629
2023-09-02,621
2023-09-06,621
2023-09-07,615
2023-09-08,617
2023-09-09,614
2023-09-12,617
2023-09-13,616
2023-09-14,614
2023-09-15,616
2023-09-16,626
2023-09-19,620
2023-09-20,625
2023-09-21,621
2023-09-22,623
2023-09-23,616
2023-09-26,617
2023-09-27,623
2023-09-28,633
2023-09-29,639
2023-09-30,639
2023-10-03,650
2023-10-04,659
2023-10-05,654
2023-10-06,655
2023-10-07,661
2023-10-10,660
2023-10-11,665
2023-10-12,661
2023-10-13,659
2023-10-14,654
2023-10-17,658
2023-10-18,659
2023-10-19,658
2023-10-20,670
2023-10-21,671
2023-10-24,674
2023-10-25,675
2023-10-26,678
2023-10-27,686
2023-10-28,686
2023-10-31,698
2023-11-01,697
2023-11-02,707
2023-11-03,721
2023-11-04,723
2023-11-07,730
2023-11-08,728
2023-11-09,730
2023-11-10,729
2023-11-11,722
2023-11-14,720
2023-11-15,730
2023-11-16,736
2023-11-17,730
2023-11-18,722
2023-11-21,723
2023-11-22,719
2023-11-23,714
2023-11-25,680
2023-11-28,682
2023-11-29,675
2023-11-30,677
2023-12-01,675
2023-12-02,677
2023-12-05,682
2023-12-06,690
2023-12-07,692
2023-12-08,691
2023-12-09,692
2023-12-12,684
2023-12-13,696
2023-12-14,698
2023-12-15,713
2023-12-16,721
2023-12-19,724
2023-12-20,728
2023-12-21,730
2023-12-22,733
2023-12-23,739
2023-12-27,734
2023-12-28,728
2023-12-29,723
2023-12-30,711
2024-01-03,707
2024-01-04,708
2024-01-05,704
2024-01-06,701
2024-01-09,703
2024-01-10,706
2024-01-11,704
2024-01-12,706
2024-01-13,704
2024-01-17,686
2024-01-18,669
2024-01-19,666
2024-01-20,663
2024-01-23,666
2024-01-24,663
2024-01-25,685
2024-01-26,697
2024-01-27,702
2024-01-30,709
2024-01-31,720
2024-02-01,723
2024-02-02,722
2024-02-03,732
2024-02-06,741
2024-02-07,745
2024-02-08,745
2024-02-09,757
2024-02-10,760
2024-02-13,765
2024-02-14,773
2024-02-15,783
2024-02-16,787
2024-02-17,787
2024-02-21,791
2024-02-22,789
2024-02-23,788
2024-02-24,780
2024-02-27,786
2024-02-28,784
2024-02-29,788
2024-03-01,783
2024-03-02,787
2024-03-05,781
2024-03-06,790
2024-03-07,782
2024-03-08,782
2024-03-09,776
2024-03-12,772
2024-03-13,773
2024-03-14,769
2024-03-15,768
2024-03-16,767
2024-03-19,766
2024-03-20,760
2024-03-21,762
2024-03-22,756
2024-03-23,753
2024-03-26,752
2024-03-27,752
2024-03-28,751
2024-03-29,747
2024-04-02,741
2024-04-03,741
2024-04-04,730
2024-04-05,732
2024-04-06,724
2024-04-09,719
2024-04-10,714
2024-04-11,725
2024-04-12,723
2024-04-13,721
2024-04-16,711
2024-04-17,712
2024-04-18,716
2024-04-19,721
2024-04-20,714
2024-04-23,719
2024-04-24,722
2024-04-25,721
2024-04-26,731
2024-04-27,731
2024-04-30,734
2024-05-01,743
2024-05-02,746
2024-05-03,755
2024-05-04,755
2024-05-07,757
2024-05-08,758
2024-05-09,757
2024-05-10,762
2024-05-11,759
2024-05-14,759
2024-05-15,757
2024-05-16,758
2024-05-17,754
2024-05-18,751
2024-05-21,746
2024-05-22,740
2024-05-23,733
2024-05-24,731
2024-05-25,729
2024-05-29,732
2024-05-30,731
2024-05-31,725
2024-06-01,719
2024-06-04,717
2024-06-05,714
2024-06-06,712
2024-06-07,708
2024-06-08,708
2024-06-11,706
2024-06-12,709
2024-06-13,708
2024-06-14,704
2024-06-15,715
2024-06-18,712
2024-06-19,715
2024-06-21,723
2024-06-22,727
2024-06-25,726
2024-06-26,737
2024-06-27,733
2024-06-28,734
2024-06-29,737
2024-07-02,726
2024-07-03,720
2024-07-04,705
2024-07-06,700
2024-07-09,692
2024-07-10,691
2024-07-11,682
2024-07-12,691
2024-07-13,689
2024-07-16,691
2024-07-17,698
2024-07-18,704
2024-07-19,706
2024-07-20,704
2024-07-23,691
2024-07-24,699
2024-07-25,701
2024-07-26,712
2024-07-27,718
2024-07-30,711
2024-07-31,718
2024-08-01,733
2024-08-02,760
2024-08-03,785
2024-08-06,796
2024-08-07,808
2024-08-08,814
2024-08-09,816
2024-08-10,809
2024-08-13,807
2024-08-14,801
2024-08-15,798
2024-08-16,793
2024-08-17,792
2024-08-20,790
2024-08-21,789
2024-08-22,782
2024-08-23,762
2024-08-24,760
2024-08-27,755
2024-08-28,743
2024-08-29,730
2024-08-30,714
2024-08-31,698
2024-09-04,684
2024-09-05,675
2024-09-06,669
2024-09-07,666
2024-09-10,668
2024-09-11,669
2024-09-12,672
2024-09-13,676
2024-09-14,682
2024-09-17,686
2024-09-18,691
2024-09-19,701
2024-09-20,706
2024-09-21,718
2024-09-24,720
2024-09-25,727
2024-09-26,731
2024-09-27,742
2024-09-28,744
2024-10-01,745
2024-10-02,749
2024-10-03,747
2024-10-04,740
2024-10-05,739
2024-10-08,733
2024-10-09,728
2024-10-10,723
2024-10-11,718
2024-10-12,718
2024-10-15,712
2024-10-16,714
2024-10-17,714
2024-10-18,711
2024-10-19,704
2024-10-22,704
2024-10-23,705
2024-10-24,711
2024-10-25,708
2024-10-26,707
2024-10-29,706
2024-10-30,701
2024-10-31,712
2024-11-01,721
2024-11-02,723
2024-11-05,730
2024-11-06,737
2024-11-07,770
2024-11-08,792
2024-11-09,804
2024-11-12,817
2024-11-13,821
2024-11-14,828
2024-11-15,835
2024-11-16,847
2024-11-19,854
2024-11-20,856
2024-11-21,865
2024-11-22,869
2024-11-23,876
2024-11-26,890
2024-11-27,888
2024-11-28,888
2024-11-30,874
2024-12-03,864
2024-12-04,868
2024-12-05,870
2024-12-06,845
2024-12-07,836
2024-12-10,829
2024-12-11,827
2024-12-12,824
2024-12-13,818
2024-12-14,815
2024-12-17,810
2024-12-18,809
2024-12-19,821
2024-12-20,828
2024-12-21,843
2024-12-24,841
2024-12-25,803
2024-12-27,796
2024-12-28,788
2024-12-31,789
2025-01-01,776
2025-01-03,767
2025-01-04,764
2025-01-07,769
2025-01-08,778
2025-01-09,766
2025-01-11,770
2025-01-14,779
2025-01-15,781
2025-01-16,800
2025-01-17,799
2025-01-18,793
2025-01-22,788
2025-01-23,783
2025-01-24,771
2025-01-25,772
2025-01-28,800
2025-01-29,827
2025-01-30,845
2025-01-31,859
2025-02-01,866
2025-02-04,866
2025-02-05,876
2025-02-06,877
2025-02-07,882
2025-02-08,887
2025-02-11,881
2025-02-12,883
2025-02-13,884
2025-02-14,888
2025-02-15,891
2025-02-19,895
2025-02-20,895
2025-02-21,892
2025-02-22,900
2025-02-25,909
2025-02-26,906
2025-02-27,912
2025-02-28,914
2025-03-01,922
2025-03-04,928
2025-03-05,935
2025-03-06,944
2025-03-07,958
2025-03-08,959
2025-03-11,961
2025-03-12,969
2025-03-13,976
2025-03-14,978
2025-03-15,985
2025-03-18,985
2025-03-19,979
2025-03-20,979
2025-03-21,969
2025-03-22,966
2025-03-25,965
2025-03-26,949
2025-03-27,945
2025-03-28,938
2025-03-29,935
2025-04-01,929
2025-04-02,925
2025-04-03,911
2025-04-04,919
2025-04-05,934
2025-04-08,944
2025-04-09,948
2025-04-10,980
2025-04-11,988
2025-04-12,994
2025-04-15,993
2025-04-16,995
2025-04-17,992
2025-04-18,995
2025-04-22,987
2025-04-23,990
2025-04-24,998
2025-04-25,1003
2025-04-26,1007
2025-04-29,1009
2025-04-30,1005
2025-05-01,1005
2025-05-02,1008
2025-05-03,996
2025-05-06,957
2025-05-07,929
2025-05-08,913
2025-05-09,893
2025-05-10,877
2025-05-13,877
