example_type,scan_date,symbol,trade_bucket,source_bucket,reason_codes,kumo_rank_by_score,kumo_score,george_rank,george_watchlist_rank,best_entry_assumption,best_entry_ret_20d_close_pct,best_entry_mfe_20d_pct,best_entry_mae_20d_pct,best_deployable_exit_policy_id,best_deployable_total_equity_ret_40d_pct,model_combined_score
kumo_addition_optimal,2025-09-08,PL,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,26.0,8.0,,,next_open,77.5463,83.912,-1.5046,swinglow3_after8,71.0648,1.6785753560264298
kumo_addition_optimal,2025-09-08,STX,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,24.0,8.0,,,next_open,28.4679,40.1069,-0.5396,time10_lt2_hard6,40.4878,-0.3245197853273869
kumo_addition_optimal,2025-09-09,HUT,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,54.0,8.0,,,prior_session_high_breakout,38.3773,44.0518,0.0,time10_lt2_hard6,59.2832,1.0665777407643215
kumo_addition_optimal,2025-09-09,INOD,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,65.0,8.0,,,prior_session_high_breakout,61.7907,67.5018,0.0,time10_lt2_hard6,23.1761,0.9880402887839116
kumo_addition_optimal,2025-09-09,IREN,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,13.0,8.0,,,prior_session_high_breakout,85.8214,106.6493,0.0,time10_lt2_hard6,117.1121,-0.2756661527269479
video_context_optimal,2025-09-09,GDX,optimal,kumo_with_george_video_context,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,11.0,8.0,28.0,,next_open,14.0803,17.8153,-0.3187,partial_t4_trail8,10.0096,-0.1412663231839231
video_context_optimal,2025-09-09,GDXJ,optimal,kumo_with_george_video_context,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,30.0,8.0,27.0,,next_open,16.9393,20.7217,-0.6845,swinglow3_after8,12.1128,0.1993551075560964
video_context_optimal,2025-09-09,MCHI,optimal,kumo_with_george_video_context,realistic_entry_triggered;ret20_ge_4;target4_before_stop2;normal_winner,39.0,8.0,12.0,,next_open,4.3113,6.784,-0.8876,fixed_t4_s2,4.0,-0.0171717589128566
kumo_addition_optimal,2025-09-10,INOD,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,57.0,8.0,,,next_open,59.8282,61.2543,-3.3162,swinglow3_after8,12.543,0.95428969037258
kumo_addition_optimal,2025-09-10,LEU,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,88.0,8.0,,,next_open,67.0734,78.2661,-1.8344,time10_lt2_hard6,49.7385,-0.074428953404602
