cell_id,cell_label,deployability_class,allowed_sources,feature_count,gate,variant,rows,median_daily,seen_hits,seen_recall_pct,median_george_rank,map_seen_pct,hits5,recall5_pct,precision5_pct,ndcg5_seen_pct,hits10,recall10_pct,precision10_pct,ndcg10_seen_pct,hits20,recall20_pct,precision20_pct,ndcg20_seen_pct,hits50,recall50_pct,precision50_pct,ndcg50_seen_pct,hits100,recall100_pct,precision100_pct,ndcg100_seen_pct
raw_plus_sector_breadth,Raw QC-safe plus sector/industry breadth,qc_cloud_deployable,raw_qc_safe+sector_breadth,78,all,lambdamart_sector_breadth_all,47493,1094.0,281,91.83,22.0,28.91,63,20.59,27.39,35.01,96,31.37,20.87,36.51,134,43.79,14.57,40.72,190,62.09,8.26,46.73,226,73.86,4.91,50.03
raw_plus_sector_breadth,Raw QC-safe plus sector/industry breadth,qc_cloud_deployable,raw_qc_safe+sector_breadth,78,score7_or_clean6,lambdamart_sector_breadth_score7_or_clean6,30289,589.0,242,79.08,18.0,30.83,62,20.26,26.96,35.52,96,31.37,20.87,38.59,128,41.83,13.91,43.29,186,60.78,8.09,49.75,219,71.57,4.76,53.08
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,all,lambdamart_sector_context_denominator_ranks_all,47493,1094.0,281,91.83,20.0,31.46,70,22.88,30.43,39.72,102,33.33,22.17,38.67,142,46.41,15.43,42.64,196,64.05,8.52,49.35,228,74.51,4.96,52.68
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,clean_top2000,lambdamart_sector_context_denominator_ranks_clean_top2000,15517,286.5,216,70.59,13.0,39.37,66,21.57,28.7,44.21,99,32.35,21.52,46.02,136,44.44,14.78,51.65,183,59.8,7.96,58.65,200,65.36,4.35,60.57
raw_plus_denominator_ranks_sector_context,Raw QC-safe plus denominator ranks plus sector context,local_plus_tc2000_blocked,raw_qc_safe+denominator_ranks+sector_context,121,score7_or_clean6,lambdamart_sector_context_denominator_ranks_score7_or_clean6,30289,589.0,242,79.08,15.5,33.16,67,21.9,29.13,39.54,98,32.03,21.3,39.81,139,45.42,15.11,45.36,188,61.44,8.17,52.27,210,68.63,4.57,54.59
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,all,lambdamart_denominator_ranks_sector_breadth_all,47493,1094.0,281,91.83,21.0,31.8,71,23.2,30.87,39.92,102,33.33,22.17,38.59,138,45.1,15.0,42.49,190,62.09,8.26,49.18,225,73.53,4.89,52.58
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,score7_or_clean6,lambdamart_denominator_ranks_sector_breadth_score7_or_clean6,30289,589.0,242,79.08,15.5,33.25,69,22.55,30.0,39.0,98,32.03,21.3,39.71,135,44.12,14.67,44.6,184,60.13,8.0,51.75,205,66.99,4.46,53.91
raw_plus_denominator_ranks_sector_breadth,Raw QC-safe plus denominator ranks plus sector breadth,local_massive_denominator_ranks,raw_qc_safe+denominator_ranks+sector_breadth,98,clean_top2000,lambdamart_denominator_ranks_sector_breadth_clean_top2000,15517,286.5,216,70.59,13.0,39.21,68,22.22,29.57,44.05,95,31.05,20.65,44.71,143,46.73,15.54,52.23,177,57.84,7.7,57.6,198,64.71,4.3,60.14
full_research_reference,Full current research feature set,research_only_reference,all_research,149,all,lambdamart_sector_context_denominator_ranks_sector_breadth_all,47493,1094.0,281,91.83,20.0,29.8,69,22.55,30.0,36.18,107,34.97,23.26,37.65,143,46.73,15.54,42.24,195,63.73,8.48,48.23,231,75.49,5.02,51.41
full_research_reference,Full current research feature set,research_only_reference,all_research,149,score7_or_clean6,lambdamart_sector_context_denominator_ranks_sector_breadth_score7_or_clean6,30289,589.0,242,79.08,15.0,31.88,68,22.22,29.57,36.88,103,33.66,22.39,39.06,138,45.1,15.0,44.91,190,62.09,8.26,50.93,212,69.28,4.61,53.43
full_research_reference,Full current research feature set,research_only_reference,all_research,149,clean_top2000,lambdamart_sector_context_denominator_ranks_sector_breadth_clean_top2000,15517,286.5,216,70.59,13.0,37.44,69,22.55,30.0,42.89,100,32.68,21.74,44.47,140,45.75,15.22,51.28,186,60.78,8.09,57.61,202,66.01,4.39,59.16
