scan_date,symbol,opportunity_id,trade_bucket,reason_codes,source_bucket,trainable_scanner_evidence,george_signal_seen,george_video_only_context,kumo_signal_seen,kumo_top_n,both_george_and_kumo,george_scanner_positive,george_watchlist,george_video_mention,kumo_scanner,kumo_rank_by_score,kumo_score,george_rank,george_watchlist_rank,company_sector,company_industry,sector_category,sector_etf_proxy,source_tags,entry_assumption_count,triggered_entry_count,strict_triggered_entry_count,bad_triggered_entry_count,best_entry_assumption,best_entry_date,best_entry_time,best_entry_price,best_entry_ret_20d_close_pct,best_entry_mfe_20d_pct,best_entry_mae_20d_pct,best_entry_t4_s2_20d_outcome,best_entry_t8_s4_20d_outcome,best_entry_runner_candidate_20d,best_entry_normal_winner_20d,best_entry_bad_trade_20d,best_entry_outcome_20d,next_open_triggered,next_open_ret_20d_close_pct,next_open_mfe_20d_pct,next_open_mae_20d_pct,next_open_bad_trade_20d,best_deployable_exit_policy_id,best_deployable_exit_reason,best_deployable_exit_status,best_deployable_total_equity_ret_40d_pct,best_deployable_realized_ret_pct,best_deployable_exposure_sessions,best_deployable_runner_preserved_40d,oracle_best_exit_policy_id,oracle_best_total_equity_ret_40d_pct,hold_40d_total_equity_ret_40d_pct,exit_policy_entry_assumption,classification_version
2026-03-20,CRC,2026-03-20|CRC,optimal,realistic_entry_triggered;mfe20_ge_8;target4_before_stop2;normal_winner,george_only,True,True,False,False,False,False,True,False,False,False,,,3.0,,,,,,george_scanner_ocr,4,3,2,0,next_open,2026-03-23,2026-03-23 09:30:00,63.08,-1.4426,14.1091,-2.8694,target_before_stop,target_before_stop,False,True,False,normal_winner,True,-1.4426,14.1091,-2.8694,False,giveback35_after8,giveback_stop,closed,9.1709,9.1709,8.0,False,giveback35_after8,9.1709,-0.9195,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-24,CTVA,2026-03-24|CTVA,optimal,realistic_entry_triggered;target4_before_stop2;normal_winner,both_george_and_kumo,True,True,False,True,True,True,True,False,False,True,43.0,7.0,1.0,,Basic Materials,Agricultural Inputs,Materials,XLB,kumo_scanner;kumo_top_n;george_scanner_ocr,4,3,2,0,next_open,2026-03-25,2026-03-25 09:30:00,80.66,-1.6241,6.1617,-2.43,target_before_stop,neither,False,True,False,normal_winner,True,-1.6241,6.1617,-2.43,False,fixed_t4_s2,target,closed,4.0,4.0,5.0,False,fixed_t4_s2,4.0,-2.306,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-19,TRGP,2026-03-19|TRGP,optimal,realistic_entry_triggered;target4_before_stop2;normal_winner,both_george_and_kumo,True,True,False,True,True,True,True,False,False,True,85.0,6.0,8.0,,Energy,Oil & Gas Midstream,Energy,XLE,kumo_scanner;kumo_top_n;george_scanner_ocr,4,2,1,0,next_open,2026-03-20,2026-03-20 09:30:00,239.69,-1.7481,5.916,-3.6255,target_before_stop,neither,False,True,False,normal_winner,True,-1.7481,5.916,-3.6255,False,fixed_t8_s4,target,closed,8.0,8.0,29.0,False,hold_40d_mtm,13.4757,13.4757,next_open_path_labels,george_scanner_trade_universe_v1
2026-02-13,CAH,2026-02-13|CAH,optimal,realistic_entry_triggered;target4_before_stop2;normal_winner,both_george_and_kumo,True,True,False,True,False,True,True,False,False,True,166.0,7.0,11.0,,Healthcare,Medical Distribution,Healthcare,XLV,kumo_scanner;george_scanner_ocr,4,3,2,1,next_open,2026-02-17,2026-02-17 09:30:00,221.71,-1.8583,5.3629,-3.667,target_before_stop,neither,False,True,False,normal_winner,True,-1.8583,5.3629,-3.667,False,fixed_t4_s2,target,closed,4.0,4.0,10.0,False,fixed_t4_s2,4.0,-3.049,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-19,EPD,2026-03-19|EPD,optimal,realistic_entry_triggered;target4_before_stop2;normal_winner,george_only,True,True,False,False,False,False,True,False,False,False,,,7.0,,,,,,george_scanner_ocr,4,2,1,0,next_open,2026-03-20,2026-03-20 09:30:00,37.49,-2.1606,5.9883,-3.4943,target_before_stop,neither,False,True,False,normal_winner,True,-2.1606,5.9883,-3.4943,False,fixed_t8_s4,horizon_mtm,open_at_horizon,4.6412,0.0,40.0,False,hold_40d_mtm,4.6412,4.6412,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-25,PFE,2026-03-25|PFE,optimal,realistic_entry_triggered;target4_before_stop2;normal_winner,both_george_and_kumo,True,True,False,True,True,True,True,False,False,True,94.0,6.0,1.0,,Healthcare,Drug Manufacturers - General,Healthcare,XLV,kumo_scanner;kumo_top_n;george_scanner_ocr,4,3,2,1,next_open,2026-03-26,2026-03-26 09:30:00,27.25,-2.2752,5.4862,-3.1927,target_before_stop,neither,False,True,False,normal_winner,True,-2.2752,5.4862,-3.1927,False,fixed_t4_s2,target,closed,4.0,4.0,5.0,False,fixed_t4_s2,4.0,-4.8807,next_open_path_labels,george_scanner_trade_universe_v1
2026-02-20,EVRG,2026-02-20|EVRG,optimal,realistic_entry_triggered;target4_before_stop2;normal_winner,both_george_and_kumo,True,True,False,True,False,True,True,False,False,True,139.0,7.0,9.0,,Utilities,Utilities - Regulated Electric,Utilities,XLU,kumo_scanner;george_scanner_ocr,4,3,2,0,next_open,2026-02-23,2026-02-23 09:30:00,80.66,-2.43,5.6658,-3.1118,target_before_stop,neither,False,True,False,normal_winner,True,-2.43,5.6658,-3.1118,False,fixed_t4_s2,target,closed,4.0,4.0,5.0,False,fixed_t4_s2,4.0,1.2522,next_open_path_labels,george_scanner_trade_universe_v1
2026-02-13,SPG,2026-02-13|SPG,optimal,realistic_entry_triggered;target4_before_stop2;normal_winner,both_george_and_kumo,True,True,False,True,False,True,True,False,False,True,240.0,6.0,5.0,,Real Estate,REIT - Retail,Real Estate,XLRE,kumo_scanner;george_scanner_ocr,4,3,2,2,next_open,2026-02-17,2026-02-17 09:30:00,197.1,-3.9422,4.0665,-5.7484,target_before_stop,stop_before_target,False,True,False,normal_winner,True,-3.9422,4.0665,-5.7484,False,fixed_t4_s2,target,closed,4.0,4.0,9.0,False,fixed_t4_s2,4.0,2.9731,next_open_path_labels,george_scanner_trade_universe_v1
2026-03-20,CNX,2026-03-20|CNX,optimal,realistic_entry_triggered;target4_before_stop2;normal_winner,george_only,True,True,False,False,False,False,True,False,False,False,,,2.0,,,,,,george_scanner_ocr,4,2,1,1,next_open,2026-03-23,2026-03-23 09:30:00,39.56,-4.0698,5.2326,-5.3589,target_before_stop,stop_before_target,False,True,False,normal_winner,True,-4.0698,5.2326,-5.3589,False,fixed_t4_s2,target,closed,4.0,4.0,1.0,False,fixed_t4_s2,4.0,-6.9009,next_open_path_labels,george_scanner_trade_universe_v1
2026-02-19,MCD,2026-02-19|MCD,optimal,realistic_entry_triggered;target4_before_stop2;normal_winner,both_george_and_kumo,True,True,False,True,False,True,True,False,False,True,165.0,6.0,3.0,,Consumer Cyclical,Restaurants,Consumer Disc,XLY,kumo_scanner;george_scanner_ocr,4,2,1,1,next_open,2026-02-20,2026-02-20 09:30:00,328.03,-5.6184,4.1825,-5.7007,target_before_stop,stop_before_target,False,True,False,normal_winner,True,-5.6184,4.1825,-5.7007,False,fixed_t4_s2,target,closed,4.0,4.0,6.0,False,fixed_t4_s2,4.0,-5.0788,next_open_path_labels,george_scanner_trade_universe_v1
