variant_id,family,wave,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,run_dir,result_path,error
combo_target_04_top3,mfe_target,1,Top-3 industry context with fast +4% intraday harvest.,ad5d07265481,fy2025_full,True,0.433,7.825,11.2,650,/Users/falk/projects/kumo-qc/.worktrees/mfe-exit-pack/sweeps/runs/george_context_combo_w1_fy2025_fix2/ad5d07265481/fy2025_full,/Users/falk/projects/kumo-qc/.worktrees/mfe-exit-pack/sweeps/runs/george_context_combo_w1_fy2025_fix2/ad5d07265481/fy2025_full/backtests/2026-06-09_15-39-26/1180345509.json,
combo_target_06_top3,mfe_target,1,Top-3 industry context with +6% intraday harvest.,3e9f1d2e4a20,fy2025_full,True,0.397,7.954,11.9,551,/Users/falk/projects/kumo-qc/.worktrees/mfe-exit-pack/sweeps/runs/george_context_combo_w1_fy2025_fix2/3e9f1d2e4a20/fy2025_full,/Users/falk/projects/kumo-qc/.worktrees/mfe-exit-pack/sweeps/runs/george_context_combo_w1_fy2025_fix2/3e9f1d2e4a20/fy2025_full/backtests/2026-06-09_15-40-05/1657299172.json,
combo_target_08_top3,mfe_target,1,Top-3 industry context with +8% intraday harvest.,5273480c7328,fy2025_full,True,0.667,12.402,11.2,531,/Users/falk/projects/kumo-qc/.worktrees/mfe-exit-pack/sweeps/runs/george_context_combo_w1_fy2025_fix2/5273480c7328/fy2025_full,/Users/falk/projects/kumo-qc/.worktrees/mfe-exit-pack/sweeps/runs/george_context_combo_w1_fy2025_fix2/5273480c7328/fy2025_full/backtests/2026-06-09_15-40-52/1535899372.json,
combo_target_06_fullcarry,mfe_target,1,Full George context plus carry with +6% intraday harvest.,b723bded462e,fy2025_full,True,0.405,8.217,15.0,555,/Users/falk/projects/kumo-qc/.worktrees/mfe-exit-pack/sweeps/runs/george_context_combo_w1_fy2025_fix2/b723bded462e/fy2025_full,/Users/falk/projects/kumo-qc/.worktrees/mfe-exit-pack/sweeps/runs/george_context_combo_w1_fy2025_fix2/b723bded462e/fy2025_full/backtests/2026-06-09_16-22-54/1979700781.json,
combo_target_08_fullcarry,mfe_target,1,Full George context plus carry with +8% intraday harvest.,3d9ba20cda09,fy2025_full,True,0.398,7.232,10.7,510,/Users/falk/projects/kumo-qc/.worktrees/mfe-exit-pack/sweeps/runs/george_context_combo_w1_fy2025_fix2/3d9ba20cda09/fy2025_full,/Users/falk/projects/kumo-qc/.worktrees/mfe-exit-pack/sweeps/runs/george_context_combo_w1_fy2025_fix2/3d9ba20cda09/fy2025_full/backtests/2026-06-09_16-25-11/1273611590.json,
combo_target_10_fullcarry,mfe_target,1,Full George context plus carry with patient +10% harvest.,0470a70ab6ef,fy2025_full,True,0.233,4.587,10.2,502,/Users/falk/projects/kumo-qc/.worktrees/mfe-exit-pack/sweeps/runs/george_context_combo_w1_fy2025_fix2/0470a70ab6ef/fy2025_full,/Users/falk/projects/kumo-qc/.worktrees/mfe-exit-pack/sweeps/runs/george_context_combo_w1_fy2025_fix2/0470a70ab6ef/fy2025_full/backtests/2026-06-09_16-26-06/1181899745.json,
