variant_id,family,ret_pct,dd_pct,same_entry_count,added_entry_count,missed_entry_count,same_symbol_count,added_closed_pnl,missed_closed_pnl,added_symbols,missed_symbols,added_open_symbols,missed_open_symbols
combo_target_10_fullcarry,mfe_target,4.587,10.2,26,157,207,140,9665.44,15796.18,AAL AAOI ABT ABVX ACHR AIG AMGN AMKR APLD AR ARM ATI AU AVAV AZPN B BA BG BIDU BITX BJ BKR BN C CAR CCI CCJ CME COHR CONL COPX DOCN EBAY EL ELF ERJ EXK EXPD FBTC FFIV FIX FN FOXA FROG FTI FUTU FXI GBTC GDS GDXU GGLL GLW HALO HAS HIMS HLT HOOD HSY HUT HWM IAUM IBIT ILMN INOD INSM IREN JBL JLL JOBY KGC KNX KTOS KWEB LEU LHX LITE LMND LOW MDGL MIR MP MTCH NEM NRG NTES NTRA NU NUGT NVT OSCR PAAS PCAR PGY PHYS QBTS QS ROIV RTX RVMD SATS SCCO SHAK SHOP SIVR SMR SOUN SOXL SPOT SQQQ TECL TMUS TOL TPR TTMI U UAL UBER UEC UPST URA URBN USO VIK VSAT VST WULF WWD YMM,AAL AAOI ABT ABVX ACHR ADM AG AIG AKAM AMDL AMGN AMKR AMPX APLD AR ARM ATI AU AVAV AZPN B BA BG BIDU BIIB BJ BKR BLD BN BSX C CAR CCI CCJ CCL CDNS CLS CME COHR CONL COPX CORZ CRL CVNA DAL DAVE DE DOCN EAT EBAY EL ELF ERJ ESTC EXK EXPD F FBTC FFIV FIX FN FOUR FOXA FROG FTI FUTU FXI GBTC GDXU GFI GGLL GLW GNRC HALO HAS HIMS HLT HSY HUT HWM IBIT ILMN INOD INSM IONS IREN JBL JLL JOBY KGC KTOS KWEB LEU LHX LITE LMND LOW MARA MCHI MDGL MEDP MELI META MIR MP MS NEM NLR NRG NTES NTRA NU NUGT NVDL NVMI NVT NXT OSCR PAAS PDD PGY PHYS PM QBTS QS QSR QURE RACE RCL RKLB ROIV RTX RUN RVMD SAP SBUX SCCO SHAK SHOP SIVR SMR SOUN SOXL SPOT SQQQ TECL TMDX TOL TPR TRGP TTMI U UAL UEC UPST URA URBN USO VIK VLY VSAT VST WULF WWD XHB XP YMM Z,AAL AMGN AZPN BG COPX EL FROG IAUM INOD KNX MTCH NTRA PCAR PHYS ROIV SQQQ WWD,ADM AKAM AMDL AMGN AZPN BG BIIB EL FROG INOD NTRA QSR ROIV SIVR SQQQ TMDX
combo_target_06_top3,mfe_target,7.954,11.9,39,162,194,154,15695.71,15576.09,AAL AAOI ABVX ACHR AIG AMDL AMGN AMKR APLD AR ASX ATI AU AVAV BA BE BIDU BIIB BJ BKR BN BSX C CAR CCI CCJ CCL CME COHR CONL COPX CRWD DAL DOCN EBAY EL EQT ERJ EXK EXPD EZU F FBTC FIX FLEX FN FOUR FOXA FROG FTI FUTU FXI GBTC GDS GDXU GGLL GLW GNRC HALO HAS HIMS HOOD HSY HUT HWM IBIT ILMN INOD INSM IREN JBL JOBY KGC KNX KTOS KWEB LHX LITE LMND LOW MA MDGL MIR MP MTCH NEM NRG NTES NTRA NU NUGT NVT NXT ONTO OSCR PAAS PCAR PGY PHYS QBTS QSR RMBS ROIV RTX RUN RVMD SATS SBUX SCCO SHOP SIVR SMR SOUN SOXL SPOT TECL TMDX TOL TPR TTMI U UAL UEC UPST URA URBN USO VIK VLY VSAT VST WULF WWD XHB XP YMM,AAL AAOI ABVX ACHR ADM AG AIG AKAM AMDL AMGN AMKR AMPX APLD AR ATI AU AVAV AZPN B BA BG BIDU BIIB BJ BKR BLD BN BSX C CAR CCI CCJ CCL CDNS CME COHR CONL COPX CORZ CRL CVNA DAL DAVE DOCN EAT EBAY EL ERJ ESTC EXK EXPD EZU F FBTC FIX FN FOUR FOXA FROG FTI FUTU FXI GBTC GDXU GFI GGLL GLW GNRC HALO HAS HIMS HLT HSY HUT HWM IBIT ILMN INOD INSM IONS IREN JBL JOBY KGC KTOS KWEB LHX LITE LMND LOW MA MARA MCHI MDGL MEDP MELI MIR MP MS NEM NLR NRG NTES NTRA NU NVT NXT OSCR PAAS PDD PGY PHYS PM QBTS QS QSR QURE RCL RKLB ROIV RTX RUN RVMD SAP SBUX SHOP SIVR SMR SOUN SOXL SPOT TECL TMDX TOL TPR TRGP TTMI U UAL UEC UPST URA URBN USO VIK VLY VSAT VST WULF WWD XHB XP YMM Z,AMDL AMGN ASX BIIB COPX EL FROG INOD KNX MTCH PCAR PHYS QSR ROIV SIVR TMDX VIK WWD,ADM AKAM AMDL AMGN AZPN BG BIIB EL FROG INOD NTRA QSR ROIV SIVR TMDX
combo_target_08_top3,mfe_target,12.402,11.2,51,141,182,149,13594.12,12971.48,AAL AAOI ABVX ACHR AMDL AMKR AMPX APLD AR ARM ATI AU AZPN B BG BIDU BJ BKR BN C CCI CCJ CME COHR CONL COPX CRSP CTSH DOCN EBAY EL ELF ERJ ESTC EXPD EZU F FBTC FIX FN FOUR FOXA FTI FXI GDS GLW GNRC H HALO HAS HSY HUT IBIT ILMN INSM IREN JOBY KGC KNX KTOS KWEB LEU MARA MDGL MIR MP NEM NLR NRG NTES NTRA NU NUGT NVDL NVT NXT OSCR PAAS PCAR PHYS PM PTC QBTS QS QURE RMBS ROIV RTX RUN RVMD SATS SBUX SCCO SHAK SHOP SIVR SMR SOUN SOXL SPOT SQQQ TECL TMUS TPR TTMI U UAL UEC UPST URA URBN USO VIK VST WULF XP XPEV YMM Z,AAL AAOI ABVX ACHR ADM AG AKAM AMDL AMGN AMKR AMPX APLD AR ARM ATI AU AZPN B BG BIDU BJ BKR BLD BN BSX C CCI CCJ CCL CDNS CLS CME COHR CONL COPX CORZ CRL CVNA DAL DAVE DE DOCN EAT EBAY EL ELF ERJ ESTC EXK EXPD EZU F FBTC FIX FOUR FOXA FROG FTI FUTU FXI GDXU GFI GLW GNRC HALO HAS HLT HSY HUT HWM IBIT ILMN INOD INSM IONS IREN JOBY KGC KTOS KWEB LEU LITE LMND MARA MCHI MDGL MEDP META MIR MP MS NEM NLR NRG NTES NTRA NU NUGT NVDL NVMI NVT NXT OSCR PAAS PDD PGY PHYS PM PTC QBTS QS QSR QURE RACE RCL RKLB ROIV RTX RUN RVMD SBUX SHAK SHOP SIVR SMR SOUN SOXL SPOT SQQQ TECL TMDX TPR TRGP TTMI U UAL UEC UPST URA URBN USO VIK VLY VSAT VST WULF XHB XP YMM Z,AMDL AZPN BG COPX EL GNRC KNX NLR PCAR PHYS PTC ROIV SQQQ VIK,ADM AKAM AMDL AMGN AZPN BG EL FROG INOD PTC QSR ROIV SIVR SQQQ TMDX
combo_target_08_fullcarry,mfe_target,7.232,10.7,55,131,178,144,14153.32,12518.21,AAL ABT ABVX ACHR AMDL AMKR AMPX APLD AR ARM AZPN B BG BITX BJ BKR BN C CCJ CME COHR CONL CRL CRSP CTSH EBAY ERJ EXPD EZU F FI FIX FN FOXA FROG FTI FUTU FXI GDS GDXU GGLL GLW HALO HIMS HUT HWM ILMN INOD INSM IREN JBL KGC KNX KWEB LEU LMND LOW MDGL MIR MP MTCH NEM NRG NTES NTRA NU NUGT NVDL NXT OSCR PAAS PCAR PGY PHYS PM PTC QBTS QSR RMBS ROIV RTX RUN RVMD SATS SBUX SCCO SHAK SHOP SIVR SMR SOUN SOXL SPOT SYM TECL TMDX TOL TPR UAL UEC URA USO VIK VLY VST WWD XP XPEV YMM Z,AAL AAOI ABT ABVX ACHR ADM AG AKAM AMDL AMGN AMKR AMPX APLD AR ARM AZPN B BG BIDU BJ BKR BLD BN BSX C CCJ CCL CDNS CLS CME COHR CONL COPX CORZ CRL CVNA DAL DAVE DOCN EAT EBAY ELF ERJ ESTC EXK EXPD EZU F FI FIX FOUR FOXA FROG FTI FUTU FXI GDXU GFI GGLL GLW GNRC HALO HIMS HLT HUT HWM ILMN INOD INSM IONS IREN JBL JOBY KGC KWEB LEU LITE LMND LOW MARA MCHI MDGL MEDP MELI MIR MP NEM NLR NRG NTES NTRA NU NUGT NVDL NVT NXT OSCR PAAS PDD PGY PHYS PM PTC QBTS QS QSR QURE RACE RCL RKLB ROIV RTX RUN RVMD SAP SBUX SCCO SHAK SHOP SIVR SMR SOUN SOXL SPOT TMDX TOL TPR TRGP TTMI UAL UEC URA USO UTHR VIK VLY VSAT VST WULF WWD XHB XP YMM Z,AMDL AZPN BG INOD KNX MTCH PCAR PHYS PTC QSR ROIV TMDX UEC VIK WWD,ADM AKAM AMDL AMGN AZPN BG FROG INOD NTRA PTC QSR ROIV SIVR TMDX
combo_target_06_fullcarry,mfe_target,8.217,15.0,69,133,164,151,11785.40,10615.68,AAL AAOI ABVX ACHR AIG AMDL AMKR AMPX APLD AR AU B BE BG BJ BKR BN BSX C CCJ CCL CLS CME COPX CRL CRWD DAVE EBAY EL ELF EQT ERJ FIX FLEX FN FOXA FROG FTI FUTU FXI GDS GDXU HALO HOOD HSY HUT HWM IBIT INOD INSM IREN JBL JOBY KGC KNX KTOS KWEB LITE LMND MAR MDGL MIR MTCH NEM NRG NTES NTRA NU NUGT NVDL NVMI NXT ONTO OSCR PAAS PCAR PDD PGY PTC QBTS QS ROIV RTX RUN RVMD SATS SBUX SCCO SHAK SHOP SIVR SMR SOUN SOXL SPOT SQQQ TECL TPR TTMI U UAL UEC URA USO VIK VSAT VST WULF WWD XHB XPEV YMM Z,AAL AAOI ABVX ACHR ADM AG AIG AKAM AMDL AMKR AMPX APLD AR AU AZPN B BG BIDU BJ BKR BLD BN BSX C CCJ CCL CDNS CLS CME COPX CORZ CRL CVNA DAL DAVE DE EAT EBAY EL ELF ERJ ESTC EXK F FIX FOUR FOXA FROG FTI FUTU FXI GDXU GFI GGLL HALO HLT HSY HUT HWM IBIT INOD INSM IONS IREN JBL JOBY KGC KTOS KWEB LITE LMND MA MARA MCHI MDGL MEDP MIR MP MS NEM NRG NTES NTRA NU NUGT NVDL NVMI NVT NXT OSCR PAAS PDD PGY PHYS PM PTC QBTS QS QSR QURE RACE RCL RKLB ROIV RTX RUN RVMD SAP SBUX SCCO SHAK SHOP SIVR SMR SOUN SOXL SPOT SQQQ TMDX TPR TRGP TTMI U UAL UEC URA USO UTHR VIK VLY VSAT VST WULF WWD XHB XP YMM Z,AMDL BG COPX EL INOD KNX MTCH PCAR PTC ROIV SQQQ UEC VIK WWD,ADM AKAM AMDL AZPN BG EL INOD PTC QSR ROIV SIVR SQQQ TMDX
combo_target_04_top3,mfe_target,7.825,11.2,233,0,0,187,0.00,0.00,,,,
