example_type,scan_date,symbol,trade_bucket,model_score_name,model_score_value,kumo_rank_by_score,kumo_score,baseline_rank,model_rank,rank_delta,model_492_combined_score,model_492_optimal_score,model_492_bad_risk_score,prior_467_combined_score,best_entry_ret_20d_close_pct,best_entry_mfe_20d_pct,best_entry_mae_20d_pct,best_deployable_total_equity_ret_40d_pct,reason_codes,company_sector,company_industry,sector_category,sector_etf_proxy
optimal_model_promoted_optimal,2025-12-08,SATS,optimal,model_492_optimal_score,0.35973449789164014,98.0,7.0,98,2,96,0.26773629490079387,0.35973449789164014,0.0919982029908463,0.7042548251625373,27.6426,33.1553,-2.2164,25.5854,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,Communication Services,Telecom Services,Comm Services,XLC
optimal_model_promoted_optimal,2026-01-15,AME,optimal,model_492_optimal_score,0.29328542430087323,97.0,8.0,97,1,96,0.08444827623251683,0.29328542430087323,0.2088371480683564,0.1400171803815446,6.8949,11.6312,-1.9354,8.0,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;normal_winner,Industrials,Specialty Industrial Machinery,Industrials,XLI
optimal_model_promoted_optimal,2025-12-17,CRS,optimal,model_492_optimal_score,0.3645365494746573,97.0,7.0,97,1,96,0.5331757278014104,0.3645365494746573,-0.16863917832675313,-0.0680489881762358,4.4496,8.6688,-4.0194,5.6348,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2026-01-29,AME,optimal,model_492_optimal_score,0.20174382284045547,98.0,8.0,98,3,95,0.3491812827954805,0.20174382284045547,-0.14743745995502502,-0.3117758936312573,5.8042,6.2292,-1.5053,4.0,realistic_entry_triggered;ret20_ge_4;target4_before_stop2;normal_winner,Industrials,Specialty Industrial Machinery,Industrials,XLI
optimal_model_promoted_optimal,2025-11-28,SGOL,optimal,model_492_optimal_score,0.1767646335355279,100.0,7.0,100,5,95,0.6286561180930357,0.1767646335355279,-0.4518914845575078,-0.0862626940486962,2.001,7.1154,-1.9639,26.8281,realistic_entry_triggered;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2026-02-19,MCD,optimal,model_492_optimal_score,0.2667748920944349,165.0,6.0,101,6,95,0.5574916572037281,0.2667748920944349,-0.2907167651092932,-0.44555916048162,-5.6184,4.1825,-5.7007,4.0,realistic_entry_triggered;target4_before_stop2;normal_winner,Consumer Cyclical,Restaurants,Consumer Disc,XLY
optimal_model_promoted_optimal,2025-09-25,MRVL,optimal,model_492_optimal_score,0.4149824222570393,98.0,7.0,98,3,95,0.6038570219065977,0.4149824222570393,-0.18887459964955844,0.8566406140742208,0.3638,14.7811,-4.1348,8.0,realistic_entry_triggered;mfe20_ge_8;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2026-03-18,BKR,optimal,model_492_optimal_score,0.6324707656253807,97.0,6.0,97,2,95,0.8840958578236321,0.6324707656253807,-0.25162509219825135,0.6141253238273469,5.6301,13.1602,-1.4816,12.6198,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;normal_winner,Energy,Oil & Gas Equipment & Services,Energy,XLE
optimal_model_promoted_optimal,2025-11-12,XLV,optimal,model_492_optimal_score,0.2875911766705551,100.0,7.0,100,5,95,0.5105382284008272,0.2875911766705551,-0.22294705173027204,0.2527655357531435,1.224,4.5449,-1.4404,4.0,realistic_entry_triggered;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2026-02-05,WAB,optimal,model_492_optimal_score,0.3074546987892175,96.0,8.0,96,1,95,0.13366658964284625,0.3074546987892175,0.17378810914637124,0.012601193442916,1.0532,9.9699,0.0,8.0,realistic_entry_triggered;mfe20_ge_8;target4_before_stop2;normal_winner,Industrials,Railroads,Industrials,XLI
optimal_model_promoted_optimal,2025-09-19,PRIM,optimal,model_492_optimal_score,0.24439415430353134,99.0,8.0,99,5,94,0.5800774871744783,0.24439415430353134,-0.335683332870947,-0.0133073867663654,6.1792,10.8819,-3.2837,8.0,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2026-04-09,DLR,optimal,model_492_optimal_score,0.3825114196249346,96.0,7.0,96,2,94,0.3261550997832067,0.3825114196249346,0.05635631984172792,0.1122162500430389,3.4908,10.5892,-0.2524,8.0,realistic_entry_triggered;mfe20_ge_8;target4_before_stop2;normal_winner,Real Estate,REIT - Specialty,Real Estate,XLRE
optimal_model_promoted_optimal,2025-12-10,GM,optimal,model_492_optimal_score,0.3197134344753938,98.0,7.0,98,4,94,0.26687027970391725,0.3197134344753938,0.05284315477147654,0.636317410517835,3.0624,6.0376,-0.9585,8.0,realistic_entry_triggered;target4_before_stop2;normal_winner,Consumer Cyclical,Auto Manufacturers,Consumer Disc,XLY
optimal_model_promoted_optimal,2025-11-12,LLY,optimal,model_492_optimal_score,0.36593751322445733,97.0,7.0,97,3,94,0.39215611966703806,0.36593751322445733,-0.026218606442580752,0.2206902689252197,-0.0698,10.0888,-3.2636,8.0,realistic_entry_triggered;mfe20_ge_8;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2025-10-14,WELL,optimal,model_492_optimal_score,0.3882339288931387,95.0,7.0,95,1,94,0.535873798447449,0.3882339288931387,-0.1476398695543103,0.0982587815425036,13.7929,14.0769,-0.1006,13.0592,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,Real Estate,REIT - Healthcare Facilities,Real Estate,XLRE
optimal_model_promoted_optimal,2025-09-25,SMH,optimal,model_492_optimal_score,0.3289741238600247,99.0,7.0,99,5,94,0.9106104675596027,0.3289741238600247,-0.5816363436995781,-0.091220931950894,7.6203,8.8329,-1.0882,8.0,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2026-04-02,ADI,optimal,model_492_optimal_score,0.18587256398831412,100.0,6.0,100,6,94,0.29678240653867216,0.18587256398831412,-0.11090984255035806,0.0303846366475631,23.9625,27.6156,-0.3906,29.6,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,Technology,Semiconductors,AI/Semis,XLK
optimal_model_promoted_optimal,2025-09-16,TPR,optimal,model_492_optimal_score,0.30190568352586467,97.0,8.0,97,3,94,0.2939830072479941,0.30190568352586467,0.007922676277870605,0.4788691366248717,5.6237,7.0228,-3.46,4.0,realistic_entry_triggered;ret20_ge_4;target4_before_stop2;normal_winner,Consumer Cyclical,Luxury Goods,Consumer Disc,XLY
optimal_model_promoted_optimal,2025-07-31,MA,optimal,model_492_optimal_score,0.5173371160294484,99.0,7.0,99,5,94,0.8560747463948843,0.5173371160294484,-0.33873763036543597,0.3777561513748629,4.721,6.7233,-1.7744,4.0,realistic_entry_triggered;ret20_ge_4;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2026-01-08,PPA,optimal,model_492_optimal_score,0.25549108195636483,97.0,8.0,97,4,93,0.15265913532843156,0.25549108195636483,0.10283194662793325,0.3644128080552701,4.2916,7.8456,0.0,8.0,realistic_entry_triggered;ret20_ge_4;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2025-09-17,VGT,optimal,model_492_optimal_score,0.2973443893546814,95.0,8.0,95,2,93,0.5876984514212662,0.2973443893546814,-0.29035406206658476,-0.1207547756779182,3.0472,5.6225,-0.5818,8.0834,realistic_entry_triggered;target4_before_stop2;normal_winner,,,,
