policy_id,rows,available_rows,closed_pct,open_at_horizon_pct,avg_realized_ret_pct,avg_open_mtm_ret_pct,avg_total_equity_ret_40d_pct,median_total_equity_ret_40d_pct,win_rate_pct,bad_total_le_minus6_pct,avg_giveback_from_peak_pct,avg_max_drawdown_ret_pct,runner_rows,runner_preserved_pct,runner_cut_early_pct,avg_exposure_sessions,objective_score
hold_40d_mtm,23455,23455,0.0,100.0,0.0,4.7113,4.7113,1.8809,59.002,20.009,10.4039,-8.6822,6211,100.0,0.0,40.0,6.0167
time10_lt2_hard6,23455,23455,74.641,25.359,-2.2519,4.1855,1.9336,-0.9378,40.78,33.566,7.3973,-4.5127,6211,49.944,45.919,17.2067,0.4057
giveback35_after8,23455,23455,75.762,24.238,0.3439,0.931,1.2749,0.2494,50.795,42.0,5.9655,-4.7954,6211,22.203,72.935,19.9465,-0.7324
swinglow3_after8,23455,23455,77.664,22.336,0.6196,0.4457,1.0653,-0.244,48.804,42.302,6.6244,-4.8811,6211,23.571,69.86,20.2365,-0.7327
sector_etf_weak3d,23455,9112,78.15,21.85,-1.2441,1.7214,0.4773,-2.9953,36.6,40.748,7.2675,-4.9161,2047,37.763,50.464,20.4808,-1.1101
partial_t4_trail8,23455,23455,78.312,21.688,-0.1059,0.6772,0.5713,0.1792,51.814,0.0,4.4943,-3.4253,6211,9.789,72.307,17.6677,-1.7132
fixed_t8_s4,23455,23455,85.244,14.756,0.1874,0.2808,0.4683,-4.0,40.989,0.0,4.4776,-3.9376,6211,4.669,91.547,14.5208,-2.4341
fixed_t4_s2,23455,23455,96.009,3.991,0.0708,0.0203,0.0911,-2.0,35.677,0.0,2.7656,-2.5515,6211,0.0,100.0,6.4399,-3.0882
