scan_date,symbol,policy_id,source_tags,kumo_rank_by_score,kumo_score,sector_etf_proxy,label_outcome_20d,true_runner_40d,policy_status,exit_reason,exit_session,realized_ret_pct,open_mtm_ret_40d_pct,total_equity_ret_40d_pct,giveback_from_peak_pct,runner_preserved_40d,runner_cut_early_40d
2025-12-04,SMX,hold_40d_mtm,kumo_scanner;kumo_top_n,86.0,7.0,,bad_trade,True,open_at_horizon,horizon_mtm,,0.0,-96.1656,-96.1656,180.3691,True,False
2025-12-05,SMX,hold_40d_mtm,kumo_scanner;kumo_top_n,89.0,7.0,,bad_trade,True,open_at_horizon,horizon_mtm,,0.0,-95.4409,-95.4409,119.0773,True,False
2025-05-05,ORLY,hold_40d_mtm,kumo_scanner;kumo_top_n,94.0,7.0,XLY,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-93.5465,-93.5465,94.5233,False,False
2025-05-06,ORLY,hold_40d_mtm,kumo_scanner;kumo_top_n,94.0,7.0,XLY,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-93.4118,-93.4118,94.2998,False,False
2025-05-16,ORLY,hold_40d_mtm,kumo_scanner;kumo_top_n,100.0,7.0,XLY,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-93.3836,-93.3836,94.8035,False,False
2025-05-15,ORLY,hold_40d_mtm,kumo_scanner;kumo_top_n,85.0,7.0,XLY,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-93.3592,-93.3592,95.2089,False,False
2025-05-23,ORLY,hold_40d_mtm,kumo_scanner;kumo_top_n,72.0,7.0,XLY,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-93.0727,-93.0727,94.4844,False,False
2025-06-06,ORLY,hold_40d_mtm,kumo_scanner;kumo_top_n,88.0,7.0,XLY,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-92.5651,-92.5651,92.6535,False,False
2025-10-20,NFLX,hold_40d_mtm,kumo_scanner;kumo_top_n,55.0,7.0,XLC,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-92.3964,-92.3964,92.8606,False,False
2026-03-06,BATL,hold_40d_mtm,george_scanner_ocr,,,,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-85.0704,-85.0704,87.2837,False,False
