scan_date,symbol,policy_id,source_tags,kumo_rank_by_score,kumo_score,sector_etf_proxy,label_outcome_20d,true_runner_40d,policy_status,exit_reason,exit_session,realized_ret_pct,open_mtm_ret_40d_pct,total_equity_ret_40d_pct,giveback_from_peak_pct,runner_preserved_40d,runner_cut_early_40d
2025-08-07,ONDS,hold_40d_mtm,kumo_scanner;kumo_top_n,82.0,8.0,,runner_candidate,True,open_at_horizon,horizon_mtm,,0.0,187.6833,187.6833,13.783,True,False
2026-04-06,MU,hold_40d_mtm,kumo_scanner;kumo_top_n;george_video_mention,82.0,6.0,XLK,normal_winner,True,open_at_horizon,horizon_mtm,,0.0,184.9315,184.9315,2.8226,True,False
2026-04-06,MU,time10_lt2_hard6,kumo_scanner;kumo_top_n;george_video_mention,82.0,6.0,XLK,normal_winner,True,open_at_horizon,horizon_mtm,,0.0,184.9315,184.9315,2.8226,True,False
2025-08-11,ONDS,hold_40d_mtm,kumo_scanner;kumo_top_n,88.0,8.0,,runner_candidate,True,open_at_horizon,horizon_mtm,,0.0,181.4721,181.4721,13.7056,True,False
2025-08-13,RGTI,hold_40d_mtm,kumo_scanner;kumo_top_n,13.0,8.0,,bad_trade,True,open_at_horizon,horizon_mtm,,0.0,181.3134,181.3134,6.6269,True,False
2025-06-10,MP,hold_40d_mtm,kumo_scanner;kumo_top_n,17.0,8.0,,normal_winner,True,open_at_horizon,horizon_mtm,,0.0,181.0693,181.0693,5.4653,True,False
2025-08-19,BE,hold_40d_mtm,kumo_scanner;kumo_top_n,16.0,8.0,,runner_candidate,True,open_at_horizon,horizon_mtm,,0.0,178.8995,178.8995,21.9258,True,False
2025-08-19,BE,time10_lt2_hard6,kumo_scanner;kumo_top_n,16.0,8.0,,runner_candidate,True,open_at_horizon,horizon_mtm,,0.0,178.8995,178.8995,21.9258,True,False
2025-08-29,CIFR,hold_40d_mtm,kumo_scanner;kumo_top_n,38.0,8.0,,runner_candidate,True,open_at_horizon,horizon_mtm,,0.0,177.4559,177.4559,19.0001,True,False
2025-08-29,CIFR,time10_lt2_hard6,kumo_scanner;kumo_top_n,38.0,8.0,,runner_candidate,True,open_at_horizon,horizon_mtm,,0.0,177.4559,177.4559,19.0001,True,False
2026-04-02,MU,hold_40d_mtm,kumo_scanner;kumo_top_n,71.0,6.0,XLK,normal_winner,True,open_at_horizon,horizon_mtm,,0.0,177.2873,177.2873,2.801,True,False
2026-04-02,MU,time10_lt2_hard6,kumo_scanner;kumo_top_n,71.0,6.0,XLK,normal_winner,True,open_at_horizon,horizon_mtm,,0.0,177.2873,177.2873,2.801,True,False
2025-08-15,ONDS,hold_40d_mtm,kumo_scanner;kumo_top_n,74.0,8.0,,runner_candidate,True,open_at_horizon,horizon_mtm,,0.0,177.0408,177.0408,21.426,True,False
2025-08-25,CIFR,hold_40d_mtm,kumo_scanner;kumo_top_n,64.0,8.0,,runner_candidate,True,open_at_horizon,horizon_mtm,,0.0,173.2687,173.2687,62.6092,True,False
2025-08-25,CIFR,time10_lt2_hard6,kumo_scanner;kumo_top_n,64.0,8.0,,runner_candidate,True,open_at_horizon,horizon_mtm,,0.0,173.2687,173.2687,62.6092,True,False
