scan_date,symbol,entry_assumption,source_tags,kumo_rank_by_score,kumo_score,label_entry_date,label_entry_time,label_entry_price,label_outcome_20d,label_ret_20d_close_pct,label_mfe_20d_pct,label_mae_20d_pct,label_t4_s2_20d_outcome,label_trigger_reason
2025-08-22,CIFR,prior_session_high_breakout,kumo_scanner;kumo_top_n,78.0,8.0,2025-08-25,2025-08-25 10:50:00,6.41,runner_candidate,119.3448,121.5289,-0.468,target_before_stop,crossed prior-session high
2025-09-16,QBTS,first_hour_confirm,kumo_scanner;kumo_top_n,49.0,8.0,2025-09-17,2025-09-17 10:25:00,19.65,runner_candidate,118.8295,130.5344,-0.8906,target_before_stop,first-hour close above first-hour open
2025-09-15,QBTS,prior_session_high_breakout,kumo_scanner;kumo_top_n,45.0,8.0,2025-09-16,2025-09-16 11:35:00,18.58,runner_candidate,118.4607,125.8881,-0.6459,target_before_stop,crossed prior-session high
2026-04-07,SOXL,next_open,kumo_scanner;kumo_top_n,82.0,6.0,2026-04-08,2026-04-08 09:30:00,66.33,normal_winner,118.0009,122.0112,-4.1761,stop_before_target,first regular bar open
2026-04-07,SOXL,prior_session_high_breakout,kumo_scanner;kumo_top_n,82.0,6.0,2026-04-08,2026-04-08 09:30:00,66.33,normal_winner,118.0009,122.0112,-4.1761,stop_before_target,crossed prior-session high
2026-04-07,SOXL,pullback_1pct_reclaim,kumo_scanner;kumo_top_n,82.0,6.0,2026-04-08,2026-04-08 11:35:00,66.3899,runner_candidate,117.8042,121.8108,-0.9337,target_before_stop,1pct pullback reclaimed session open
2025-08-25,CIFR,next_open,kumo_scanner;kumo_top_n,64.0,8.0,2025-08-26,2025-08-26 09:30:00,6.55,runner_candidate,117.5573,124.9511,-1.0687,target_before_stop,first regular bar open
2025-12-29,AGQ,next_open,kumo_scanner;kumo_top_n,90.0,7.0,2025-12-30,2025-12-30 09:30:00,183.53,runner_candidate,117.4903,124.3666,-18.2096,ambiguous_same_day,first regular bar open
2025-12-29,AGQ,prior_session_high_breakout,kumo_scanner;kumo_top_n,90.0,7.0,2025-12-30,2025-12-30 09:30:00,183.53,runner_candidate,117.4903,124.3666,-18.2096,ambiguous_same_day,crossed prior-session high
2025-12-29,AGQ,pullback_1pct_reclaim,kumo_scanner;kumo_top_n,90.0,7.0,2025-12-30,2025-12-30 10:50:00,183.61,runner_candidate,117.3956,124.2688,-18.2452,ambiguous_same_day,1pct pullback reclaimed session open
2026-04-15,SOXL,next_open,kumo_scanner;kumo_top_n,6.0,8.0,2026-04-16,2026-04-16 09:30:00,85.01,runner_candidate,116.0922,125.0205,-1.9998,target_before_stop,first regular bar open
2026-04-15,SOXL,pullback_1pct_reclaim,kumo_scanner;kumo_top_n,6.0,8.0,2026-04-16,2026-04-16 09:40:00,85.31,runner_candidate,115.3323,124.2292,-2.3444,ambiguous_same_day,1pct pullback reclaimed session open
2026-03-25,SOXL,next_open,kumo_scanner;kumo_top_n,77.0,6.0,2026-03-26,2026-03-26 09:30:00,54.19,normal_winner,114.4676,115.4824,-27.0714,stop_before_target,first regular bar open
2026-04-15,SOXL,first_hour_confirm,kumo_scanner;kumo_top_n,6.0,8.0,2026-04-16,2026-04-16 10:25:00,85.82,runner_candidate,114.0527,122.8966,-0.2797,target_before_stop,first-hour close above first-hour open
2026-04-15,SOXL,prior_session_high_breakout,kumo_scanner;kumo_top_n,6.0,8.0,2026-04-16,2026-04-16 09:40:00,85.98,normal_winner,113.6543,122.4819,-3.1054,stop_before_target,crossed prior-session high
2025-12-29,HYMC,next_open,kumo_scanner;kumo_top_n,36.0,8.0,2025-12-30,2025-12-30 09:30:00,23.91,runner_candidate,113.2999,145.629,-6.5245,ambiguous_same_day,first regular bar open
