scan_date,symbol,entry_assumption,source_tags,kumo_rank_by_score,kumo_score,label_entry_date,label_entry_time,label_entry_price,label_outcome_20d,label_ret_20d_close_pct,label_mfe_20d_pct,label_mae_20d_pct,label_t4_s2_20d_outcome,label_trigger_reason
2025-11-19,SGBX,prior_session_high_breakout,kumo_scanner;kumo_top_n,38.0,7.0,2025-11-20,2025-11-20 09:30:00,7.17,bad_trade,-66.4575,30.2636,-66.8061,ambiguous_same_day,crossed prior-session high
2025-10-13,CRML,next_open,kumo_scanner;kumo_top_n,59.0,7.0,2025-10-14,2025-10-14 09:30:00,30.25,bad_trade,-65.7871,6.281,-68.4959,ambiguous_same_day,first regular bar open
2025-10-13,CRML,prior_session_high_breakout,kumo_scanner;kumo_top_n,59.0,7.0,2025-10-14,2025-10-14 09:30:00,30.25,bad_trade,-65.7871,6.281,-68.4959,ambiguous_same_day,crossed prior-session high
2025-11-19,SGBX,pullback_1pct_reclaim,kumo_scanner;kumo_top_n,38.0,7.0,2025-11-20,2025-11-20 10:55:00,6.9077,bad_trade,-65.1838,3.0734,-65.5457,stop_before_target,1pct pullback reclaimed session open
2025-11-19,SGBX,next_open,kumo_scanner;kumo_top_n,38.0,7.0,2025-11-20,2025-11-20 09:30:00,6.86,bad_trade,-64.9417,36.1501,-65.3061,ambiguous_same_day,first regular bar open
2025-10-10,NTLA,prior_session_high_breakout,kumo_scanner;kumo_top_n,96.0,7.0,2025-10-13,2025-10-13 11:10:00,25.7775,bad_trade,-63.1462,9.5917,-65.241,stop_before_target,crossed prior-session high
2025-10-14,CRML,next_open,kumo_scanner;kumo_top_n,66.0,7.0,2025-10-15,2025-10-15 09:30:00,26.535,bad_trade,-63.0676,5.521,-64.0852,ambiguous_same_day,first regular bar open
2025-10-15,CRML,next_open,kumo_scanner;kumo_top_n,97.0,7.0,2025-10-16,2025-10-16 09:30:00,25.92,bad_trade,-62.39,0.2315,-64.24,stop_before_target,first regular bar open
2025-10-10,NTLA,pullback_1pct_reclaim,kumo_scanner;kumo_top_n,96.0,7.0,2025-10-13,2025-10-13 13:05:00,24.885,bad_trade,-61.8244,13.5222,-63.9944,stop_before_target,1pct pullback reclaimed session open
2025-10-10,NTLA,next_open,kumo_scanner;kumo_top_n,96.0,7.0,2025-10-13,2025-10-13 09:30:00,24.88,bad_trade,-61.8167,13.545,-63.9871,stop_before_target,first regular bar open
2025-10-14,TMQ,next_open,kumo_scanner;kumo_top_n,8.0,8.0,2025-10-15,2025-10-15 09:30:00,9.94,bad_trade,-60.7575,0.6036,-62.7767,stop_before_target,first regular bar open
2025-10-13,UAMY,next_open,kumo_scanner;kumo_top_n,12.0,8.0,2025-10-14,2025-10-14 09:30:00,19.5,bad_trade,-60.7179,1.0769,-68.0,stop_before_target,first regular bar open
2025-10-13,UAMY,prior_session_high_breakout,kumo_scanner;kumo_top_n,12.0,8.0,2025-10-14,2025-10-14 09:30:00,19.5,bad_trade,-60.7179,0.0,-68.0,stop_before_target,crossed prior-session high
2025-10-29,QURE,pullback_1pct_reclaim,kumo_scanner;kumo_top_n,40.0,8.0,2025-10-30,2025-10-30 10:40:00,69.14,bad_trade,-60.2979,0.9922,-66.9511,stop_before_target,1pct pullback reclaimed session open
2025-10-29,QURE,next_open,kumo_scanner;kumo_top_n,40.0,8.0,2025-10-30,2025-10-30 09:30:00,69.01,bad_trade,-60.2232,1.4201,-66.8889,stop_before_target,first regular bar open
2025-09-16,TURB,pullback_1pct_reclaim,kumo_scanner;kumo_top_n,24.0,8.0,2025-09-17,2025-09-17 11:05:00,9.65,bad_trade,-59.8964,39.5855,-60.6062,ambiguous_same_day,1pct pullback reclaimed session open
2025-10-13,GWH,next_open,kumo_scanner;kumo_top_n,60.0,7.0,2025-10-14,2025-10-14 09:30:00,10.65,bad_trade,-59.8122,1.1268,-67.1362,stop_before_target,first regular bar open
