variant_id,family,wave,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,artifact_path,artifact_sha256,run_dir,result_path,error
scanner_champion_baseline,baseline,0,"Current production champion, no learned scanner gate.",fb0e2fa2cb67,fy2025_full,True,1.025,27.695,19.4,72,,,sweeps/runs/scanner_ranker_s1_fy2025_first_pack_w1/fb0e2fa2cb67/fy2025_full,sweeps/runs/scanner_ranker_s1_fy2025_first_pack_w1/fb0e2fa2cb67/fy2025_full/backtests/2026-06-10_01-01-05/1527401794.json,
scanner_ranker_phase_off,fallback,0,Phase present but explicitly disabled; should match baseline wiring.,4a03f90f9f6b,fy2025_full,True,1.025,27.695,19.4,72,,,sweeps/runs/scanner_ranker_s1_fy2025_first_pack_w1/4a03f90f9f6b/fy2025_full,sweeps/runs/scanner_ranker_s1_fy2025_first_pack_w1/4a03f90f9f6b/fy2025_full/backtests/2026-06-10_01-28-36/1429248433.json,
scanner_ranker_fallback_bct_order,fallback,0,Missing model falls back to BCT signal order; proves fail-open control behavior.,6e2a61ba2e96,fy2025_full,True,1.025,27.695,19.4,72,,,sweeps/runs/scanner_ranker_s1_fy2025_first_pack_w1/6e2a61ba2e96/fy2025_full,sweeps/runs/scanner_ranker_s1_fy2025_first_pack_w1/6e2a61ba2e96/fy2025_full/backtests/2026-06-10_01-46-26/1439041765.json,
scanner_lambdamart_top10,top_x,0,Strict George-style daily Top-10 scanner gate.,b869054ce212,fy2025_full,True,0.074,0.981,22.0,68,storage/bct_lambdamart_qc_safe_v1.json,d8908f0ac221025a2415274c1a22bd79ae4e0d3aa68aed24016cb2093b9387e0,sweeps/runs/scanner_ranker_s1_fy2025_first_pack_w1/b869054ce212/fy2025_full,sweeps/runs/scanner_ranker_s1_fy2025_first_pack_w1/b869054ce212/fy2025_full/backtests/2026-06-10_02-04-26/1703455282.json,
scanner_lambdamart_top20,top_x,0,Balanced daily Top-20 scanner gate.,90f501618cf2,fy2025_full,True,1.065,29.133,18.8,78,storage/bct_lambdamart_qc_safe_v1.json,d8908f0ac221025a2415274c1a22bd79ae4e0d3aa68aed24016cb2093b9387e0,sweeps/runs/scanner_ranker_s1_fy2025_first_pack_w1/90f501618cf2/fy2025_full,sweeps/runs/scanner_ranker_s1_fy2025_first_pack_w1/90f501618cf2/fy2025_full/backtests/2026-06-10_02-21-03/1352181795.json,
scanner_lambdamart_top50,top_x,0,Wide daily Top-50 scanner gate; tests whether ranking helps without starving entries.,76a95ffb70ce,fy2025_full,True,0.995,25.676,19.8,72,storage/bct_lambdamart_qc_safe_v1.json,d8908f0ac221025a2415274c1a22bd79ae4e0d3aa68aed24016cb2093b9387e0,sweeps/runs/scanner_ranker_s1_fy2025_first_pack_w1/76a95ffb70ce/fy2025_full,sweeps/runs/scanner_ranker_s1_fy2025_first_pack_w1/76a95ffb70ce/fy2025_full/backtests/2026-06-10_02-37-53/1849830614.json,
