variant_id,config_hash,result_path,order_id,date,symbol,quantity,price,status,time,last_fill_time,tag,type
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,17,2025-01-14,PG,24.0,159.5847525,filled,1736870460.0,1736870460.0,decision_gap=0.0041&decision_vol=4.447&decision_tdist=0.0000&decision_rank=93,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,18,2025-01-14,UNH,7.0,544.6371825,filled,1736887860.0,1736887860.0,decision_gap=0.0053&decision_vol=8.229&decision_tdist=0.0000&decision_rank=20,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,19,2025-01-15,META,6.0,610.1049,filled,1736951460.0,1736951460.0,decision_gap=0.0258&decision_vol=10.374&decision_tdist=0.0000&decision_rank=9,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,20,2025-01-15,LLY,5.0,745.582605,filled,1736951460.0,1736951460.0,decision_gap=0.0010&decision_vol=7.684&decision_tdist=0.0000&decision_rank=25,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,21,2025-01-15,COST,4.0,928.0788075,filled,1736951460.0,1736951460.0,decision_gap=0.0109&decision_vol=6.651&decision_tdist=0.0000&decision_rank=37,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,22,2025-01-15,XOM,36.0,110.625285,filled,1736951460.0,1736951460.0,decision_gap=0.0081&decision_vol=4.949&decision_tdist=0.0000&decision_rank=46,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,23,2025-01-16,ABBV,23.0,172.2210675,filled,1737042960.0,1737042960.0,decision_gap=0.0048&decision_vol=4.011&decision_tdist=0.0000&decision_rank=120,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,24,2025-01-21,JPM,-16.0,259.939895,filled,1737469860.0,1737469860.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,25,2025-01-21,JPM,15.0,261.220545,filled,1737470460.0,1737470460.0,decision_gap=0.0065&decision_vol=1.331&decision_tdist=0.0000&decision_rank=28,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,26,2025-01-22,HD,-10.0,417.3422809,filled,1737556260.0,1737556260.0,,
combo_gb_buy005,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,27,2025-01-22,ORCL,-25.0,191.417255,filled,1737556260.0,1737556260.0,,
