variant_id,family,config_hash,result_path,status,symbol,qty,entry_order_id,exit_order_id,entry_time,exit_time,entry_date,exit_date,duration_days,entry_price,exit_price,pnl,return_pct,entry_tag,exit_tag,exit_event,exit_reason,censored
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,JPM,16.0,9,24,1736865060.0,1737469860.0,2025-01-14,2025-01-21,7.0,243.9969375,259.939895,255.08731999999964,0.06534080986159907,decision_gap=-0.0012&decision_vol=11.366&decision_tdist=0.0000&decision_rank=37,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,HD,10.0,12,26,1736865060.0,1737556260.0,2025-01-14,2025-01-22,8.0,390.5301675,417.3422809,268.12113399999987,0.06865567792531668,decision_gap=0.0030&decision_vol=3.064&decision_tdist=0.0000&decision_rank=64,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,ORCL,25.0,11,27,1736865060.0,1737556260.0,2025-01-14,2025-01-22,8.0,155.65028625,191.417255,894.1742187500005,0.22979057483101806,decision_gap=0.0109&decision_vol=3.790&decision_tdist=0.0000&decision_rank=63,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,AMZN,18.0,5,29,1736865060.0,1737642660.0,2025-01-14,2025-01-23,9.0,220.105998,233.98366,249.79791599999976,0.06304990380134923,decision_gap=0.0068&decision_vol=7.177&decision_tdist=0.0000&decision_rank=11,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,MSFT,9.0,15,30,1736865360.0,1737642660.0,2025-01-14,2025-01-23,8.996527777777779,418.72926,441.77867,207.4446899999997,0.05504609350681622,decision_gap=0.0031&decision_vol=1.954&decision_tdist=0.0000&decision_rank=9,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,NFLX,4.0,7,31,1736865060.0,1737642660.0,2025-01-14,2025-01-23,9.0,843.2564175,957.3250925,456.27469999999994,0.13527163580702894,decision_gap=0.0030&decision_vol=3.026&decision_tdist=0.0000&decision_rank=26,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,NVDA,29.0,2,32,1736865060.0,1737642660.0,2025-01-14,2025-01-23,9.0,135.6027675,144.977705,271.87318749999963,0.06913529622468784,decision_gap=0.0172&decision_vol=9.213&decision_tdist=0.0000&decision_rank=2,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,V,13.0,10,35,1736865060.0,1737729060.0,2025-01-14,2025-01-24,10.0,307.73379,327.855895,261.5873649999997,0.0653880257998316,decision_gap=0.0025&decision_vol=3.581&decision_tdist=0.0000&decision_rank=42,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,AVGO,17.0,3,38,1736865060.0,1737988260.0,2025-01-14,2025-01-27,13.0,227.9006934,213.292005,-248.3477028000001,-0.06410111431455612,decision_gap=0.0109&decision_vol=7.197&decision_tdist=0.0000&decision_rank=5,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,META,6.0,19,39,1736951460.0,1737988260.0,2025-01-15,2025-01-27,12.0,610.1049,626.2936425,97.13245499999994,0.026534359091362703,decision_gap=0.0258&decision_vol=10.374&decision_tdist=0.0000&decision_rank=9,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,AMD,33.0,6,41,1736865060.0,1738074660.0,2025-01-14,2025-01-28,14.0,118.53233655,115.117765,-112.6808611499997,-0.02880708884498906,decision_gap=0.0096&decision_vol=6.900&decision_tdist=0.0000&decision_rank=12,,PROACTIVE_STRENGTH_EXIT,giveback,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,CRM,12.0,8,42,1736865060.0,1738074660.0,2025-01-14,2025-01-28,14.0,325.56780255,354.592105,348.2916293999999,0.0891497937531538,decision_gap=0.0201&decision_vol=6.742&decision_tdist=0.0000&decision_rank=38,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,GOOGL,20.0,16,43,1736865360.0,1738074660.0,2025-01-14,2025-01-28,13.996527777777779,191.45568,192.64874,23.861200000000053,0.006231520527361756,decision_gap=0.0018&decision_vol=2.563&decision_tdist=0.0000&decision_rank=14,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,LLY,5.0,20,44,1736951460.0,1738074660.0,2025-01-15,2025-01-28,13.0,745.582605,806.834545,306.2597000000005,0.08215312373066985,decision_gap=0.0010&decision_vol=7.684&decision_tdist=0.0000&decision_rank=25,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,MA,7.0,13,45,1736865060.0,1738074660.0,2025-01-14,2025-01-28,14.0,504.642195,546.2674,291.37643499999956,0.08248459088919424,decision_gap=-0.0012&decision_vol=5.310&decision_tdist=0.0000&decision_rank=70,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,PG,24.0,17,46,1736870460.0,1738074660.0,2025-01-14,2025-01-28,13.9375,159.5847525,168.825435,221.7763799999998,0.05790454510997223,decision_gap=0.0041&decision_vol=4.447&decision_tdist=0.0000&decision_rank=93,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,AMD,35.0,48,55,1738074660.0,1738161060.0,2025-01-28,2025-01-29,1.0,114.527235,115.7121775,41.47298749999969,0.010346381801673576,decision_gap=-0.0051&decision_vol=7.011&decision_tdist=0.0000&decision_rank=12,,PROACTIVE_STRENGTH_EXIT,giveback,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,AMD,35.0,56,58,1738161060.0,1738247460.0,2025-01-29,2025-01-30,1.0,115.7028225,118.47007505,96.85383925000032,0.023916897532901604,decision_gap=0.0130&decision_vol=5.927&decision_tdist=0.0000&decision_rank=12,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,closed,AVGO,20.0,47,60,1738074660.0,1738333860.0,2025-01-28,2025-01-31,3.0,203.1015,219.5501725,328.9734500000003,0.0809874496249412,decision_gap=0.0039&decision_vol=6.642&decision_tdist=0.0000&decision_rank=10,,,,False
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,open,TSLA,9.0,1,,1736865060.0,,2025-01-14,,,415.36758,,,,decision_gap=0.0292&decision_vol=12.081&decision_tdist=0.0000&decision_rank=0,,,,True
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,open,V,12.0,37,,1737730860.0,,2025-01-24,,,329.954895,,,,decision_gap=0.0051&decision_vol=3.847&decision_tdist=0.0000&decision_rank=43,,,,True
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,open,ORCL,22.0,28,,1737556260.0,,2025-01-22,,,185.582745,,,,decision_gap=0.0744&decision_vol=13.304&decision_tdist=0.0000&decision_rank=53,,,,True
combo_gb_buy005,combo,97a40998938b,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_smoke/combo_gb_buy005/jan2025_proof/backtests/2026-06-08_17-45-46/1702633449.json,open,HD,10.0,34,,1737648060.0,,2025-01-23,,,411.9808875,,,,decision_gap=0.0042&decision_vol=3.938&decision_tdist=0.0000&decision_rank=67,,,,True
