variant_id,symbol,trades,pnl,avg_return_pct,max_return_pct,max_duration_days
p_only_base,MA,3,448.205,3.973,7.842,178.958
p_only_base,HD,1,344.505,8.866,8.866,25.0
p_only_base,V,21,317.713,0.397,6.103,233.958
p_only_base,CRM,1,309.438,7.748,7.748,26.0
p_only_base,PG,1,254.949,6.398,6.398,65.958
p_only_base,XOM,1,242.303,6.057,6.057,75.958
p_only_base,MRK,1,207.321,5.216,5.216,327.0
target_04_fast_take,AMD,11,3106.589,6.756,17.566,130.931
target_04_fast_take,ORCL,11,2952.613,6.722,26.254,113.958
target_04_fast_take,AVGO,10,2444.848,6.071,12.371,150.958
target_04_fast_take,GOOGL,9,2002.77,5.196,9.516,209.958
target_04_fast_take,NVDA,6,1343.936,5.436,9.359,173.958
target_04_fast_take,NFLX,7,1310.088,5.03,9.63,72.958
target_04_fast_take,ABBV,6,1174.818,4.836,6.311,192.958
target_04_fast_take,LLY,6,1169.913,5.213,7.378,257.0
target_04_fast_take,TSLA,4,1164.174,7.247,10.253,259.938
target_04_fast_take,JPM,7,1144.407,4.053,4.715,139.958
target_04_fast_take,META,5,987.3,5.274,7.789,175.958
target_04_fast_take,MSFT,5,964.298,4.974,6.509,118.958
target_04_fast_take,AAPL,3,641.502,5.015,5.41,262.958
target_04_fast_take,COST,3,562.467,5.302,6.943,28.0
target_04_fast_take,V,3,555.172,4.775,5.974,101.958
target_04_fast_take,UNH,4,539.313,3.79,5.476,88.958
target_04_fast_take,AMZN,2,467.387,5.981,6.81,279.0
target_04_fast_take,MA,3,455.708,3.992,4.537,194.958
target_04_fast_take,XOM,2,390.088,4.983,6.057,237.042
target_04_fast_take,HD,1,344.505,8.866,8.866,25.0
target_04_fast_take,CRM,1,309.438,7.748,7.748,26.0
target_04_fast_take,MRK,1,207.321,5.216,5.216,327.0
target_04_fast_take,PG,1,147.62,3.704,3.704,54.0
target_08_let_run,AMD,9,3083.408,8.258,21.42,130.931
target_08_let_run,ORCL,12,2772.127,5.817,26.89,113.958
target_08_let_run,GOOGL,13,2439.351,4.388,15.654,145.958
target_08_let_run,AVGO,9,2165.317,5.881,10.562,151.958
target_08_let_run,NFLX,5,1299.69,7.283,9.63,75.958
target_08_let_run,LLY,4,1261.717,8.393,9.729,254.0
target_08_let_run,NVDA,5,1188.254,5.866,10.112,183.958
target_08_let_run,TSLA,9,1138.244,3.043,22.184,130.958
target_08_let_run,ABBV,3,1089.897,9.518,12.125,206.0
target_08_let_run,JPM,4,1022.669,6.418,8.457,129.958
target_08_let_run,META,3,1012.253,9.081,10.245,181.958
target_08_let_run,MSFT,3,749.349,6.88,9.466,118.958
target_08_let_run,AAPL,3,639.946,4.948,8.889,282.958
target_08_let_run,UNH,3,506.652,4.596,9.259,88.958
target_08_let_run,COST,2,496.35,6.644,10.138,32.0
target_08_let_run,V,2,470.755,6.199,9.71,110.955
target_08_let_run,MA,3,448.205,3.973,7.842,178.958
target_08_let_run,AMZN,3,426.387,3.563,5.918,274.0
target_08_let_run,XOM,1,367.304,9.182,9.182,82.958
target_08_let_run,HD,1,344.505,8.866,8.866,25.0
target_08_let_run,CRM,1,309.438,7.748,7.748,26.0
target_08_let_run,MRK,1,84.788,2.133,2.133,333.0
target_08_let_run,PG,1,62.939,1.579,1.579,146.958
