variant_id,symbol,entry_date,exit_date,duration_days,entry_price,exit_price,pnl,return_pct,exit_reason,exit_event
giveback_tight_no_bull,GOOGL,2025-11-14,2025-11-20,5.989583333333333,275.11578915,304.38924115,468.3752319999994,10.64,,
giveback_tight_no_bull,ABBV,2025-09-17,2025-10-02,15.0,218.499195,240.768905,445.39420000000007,10.192,,
giveback_tight_no_bull,AMD,2025-10-09,2025-10-27,18.0,235.21755,257.752855,428.17079500000045,9.581,,
giveback_tight_no_bull,AMD,2025-06-25,2025-07-16,20.989583333333332,140.49751365,155.2323275,412.57478779999985,10.488,,
giveback_tight_no_bull,GOOGL,2025-11-20,2025-11-25,4.902777777777778,296.76831,326.04843845,409.9217983000001,9.866,,
giveback_tight_no_bull,TSLA,2025-09-26,2025-10-02,5.996527777777778,429.6297075,470.30694,406.772325,9.468,,
giveback_tight_no_bull,GOOGL,2025-09-04,2025-09-16,12.0,230.064975,251.95406355,394.00359389999994,9.514,,
giveback_tight_no_bull,TSLA,2025-01-03,2025-01-06,3.0,383.65173,422.9890248,393.3729479999999,10.253,,
giveback_tight_no_bull,ORCL,2025-06-16,2025-07-03,17.0,212.94642,233.1035325,362.8280250000002,9.466,,
giveback_tight_no_bull,ORCL,2025-01-03,2025-01-23,20.0,166.70331,181.5475,356.2605600000006,8.905,,
giveback_tight_no_bull,AMD,2025-07-16,2025-07-28,12.0,155.4226725,168.99432,352.86283499999956,8.732,,
giveback_tight_no_bull,ORCL,2025-01-23,2025-06-13,140.95833333333334,185.0925,201.47827,344.10117000000014,8.853,,
giveback_tight_no_bull,AMD,2025-01-07,2025-06-25,168.95833333333334,130.02498,140.86952,336.18073999999984,8.34,,
giveback_tight_no_bull,LLY,2025-02-03,2025-02-07,4.0,810.02481,876.092005,330.33597499999985,8.156,,
p_only_base,ORCL,2025-07-18,2025-09-16,60.0,248.6292525,313.904,1044.3959599999998,26.254,,
p_only_base,AMD,2025-07-30,2025-10-07,69.0,176.858385,214.74118,871.3042850000004,21.42,,
p_only_base,GOOGL,2025-02-03,2025-09-04,212.95833333333337,201.23566755,229.535025,565.987149,14.063,,
p_only_base,GOOGL,2025-11-11,2025-11-25,14.0,289.21463505,326.04843845,552.5070509999995,12.736,,
p_only_base,NVDA,2025-10-01,2025-10-29,28.0,185.0925,207.874605,523.988415,12.308,,
p_only_base,AMD,2025-10-08,2025-10-09,1.0,212.396145,236.18245,499.51240499999994,11.199,,
p_only_base,AVGO,2025-07-31,2025-09-08,39.0,304.862355,342.5758657,490.2756391000004,12.371,,
