variant_id,family,ret_pct,dd_pct,orders,buy_orders,closed_trades,open_trades,closed_win_rate,closed_loser_count,net_profit_est,closed_realized_pnl,implied_open_pnl,avg_closed_pnl,median_closed_pnl,avg_mfe,avg_mae,avg_duration_days,avg_decision_rank,avg_decision_gap,avg_decision_vol,worst_symbol,worst_pnl,worst_mfe,worst_mae,best_mfe_symbol,best_mfe,entry_symbols,open_symbols
industry_top8_broad,industry_warmup,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
industry_bct_share_heavy,industry_warmup,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
industry_proxy_off,industry_warmup,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
industry_proxy_boost,industry_warmup,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
carry_3_ttl5,watchlist_carry,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
carry_5_ttl10,watchlist_carry,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
carry_10_ttl10,watchlist_carry,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
carry_15_ttl20,watchlist_carry,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
carry_liquid_strict,watchlist_carry,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
carry_price_loose,watchlist_carry,27.695,19.4,72,36,19,17,0.000,19,27695.00,-15099.39,42794.39,-794.705,-653.790,493.111,-824.266,73.261,396.056,0.044,8.181,MRVL,-1805.770,428.040,-1888.260,VST,1373.500,ABT AIG AR ATI AU BITX BJ BKR BSX CEG EBAY EZU GLW HOOD HPE IBIT JLL KGC KLAC LNG META MP MRVL NEM NTES PAAS QBTS RBLX RUN SHOP SPOT TSM UAL URBN USO VST,ABT AIG ATI AU GLW HOOD JLL KGC KLAC NEM NTES PAAS QBTS RBLX RUN SPOT URBN
