variant_id,family,ret_pct,dd_pct,same_entry_count,added_entry_count,missed_entry_count,same_symbol_count,added_closed_pnl,missed_closed_pnl,added_symbols,missed_symbols,added_open_symbols,missed_open_symbols
attention_ticker_base,george_attention,26.343,20.2,30,7,6,33,-2600.00,0.00,ACHR AIG BCS BTI NXT RUN URBN,ABT AIG JLL QBTS RUN URBN,AIG BTI NXT RUN URBN,ABT AIG JLL QBTS RUN URBN
attention_industry_heavy,george_attention,26.343,20.2,30,7,6,33,-2600.00,0.00,ACHR AIG BCS BTI NXT RUN URBN,ABT AIG JLL QBTS RUN URBN,AIG BTI NXT RUN URBN,ABT AIG JLL QBTS RUN URBN
industry_top8_broad,industry_warmup,27.695,19.4,36,0,0,36,0.00,0.00,,,,
industry_top3_focus,industry_warmup,27.695,19.4,36,0,0,36,0.00,0.00,,,,
industry_proxy_off,industry_warmup,27.695,19.4,36,0,0,36,0.00,0.00,,,,
industry_proxy_boost,industry_warmup,27.695,19.4,36,0,0,36,0.00,0.00,,,,
industry_bct_share_heavy,industry_warmup,27.695,19.4,36,0,0,36,0.00,0.00,,,,
carry_price_loose,watchlist_carry,27.695,19.4,36,0,0,36,0.00,0.00,,,,
carry_liquid_strict,watchlist_carry,27.695,19.4,36,0,0,36,0.00,0.00,,,,
carry_5_ttl10,watchlist_carry,27.695,19.4,36,0,0,36,0.00,0.00,,,,
carry_3_ttl5,watchlist_carry,27.695,19.4,36,0,0,36,0.00,0.00,,,,
carry_15_ttl20,watchlist_carry,27.695,19.4,36,0,0,36,0.00,0.00,,,,
carry_10_ttl10,watchlist_carry,27.695,19.4,36,0,0,36,0.00,0.00,,,,
