variant_id,family,wave,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,run_dir,result_path,error
attention_ticker_light,george_attention,3,Light ticker-prior bump.,9d8350957c9a,fy2025_full,True,0.983,26.343,20.2,74,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/9d8350957c9a/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/9d8350957c9a/fy2025_full/backtests/2026-06-09_04-00-05/1897555959.json,
attention_ticker_base,george_attention,3,Balanced ticker-prior bump.,69a53bac3a4c,fy2025_full,True,0.983,26.343,20.2,74,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/69a53bac3a4c/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/69a53bac3a4c/fy2025_full/backtests/2026-06-09_04-00-51/1576572761.json,
attention_ticker_heavy,george_attention,3,Strong ticker-prior bump tests whether source evidence should dominate rank.,d4f7a2163a31,fy2025_full,True,1.022,27.197,20.2,74,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/d4f7a2163a31/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/d4f7a2163a31/fy2025_full/backtests/2026-06-09_04-20-32/1324787494.json,
attention_industry_heavy,george_attention,3,Strong industry transcript prior with moderate ticker prior.,f2e42ea8bd0b,fy2025_full,True,0.983,26.343,20.2,74,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/f2e42ea8bd0b/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/f2e42ea8bd0b/fy2025_full/backtests/2026-06-09_04-21-14/1636633112.json,
attention_with_watchlist,george_attention,3,"Ticker prior can seed watchlist memory, but industry contribution stays low.",d43e494327b7,fy2025_full,True,0.983,26.343,20.2,74,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/d43e494327b7/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/d43e494327b7/fy2025_full/backtests/2026-06-09_04-41-12/1602912809.json,
attention_floor_05,george_attention,3,Drop weak industries even when ticker attention exists.,fe2d3debcb18,fy2025_full,True,0.884,22.241,19.9,72,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/fe2d3debcb18/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/fe2d3debcb18/fy2025_full/backtests/2026-06-09_04-42-34/1326108001.json,
