variant_id,base_module,scanner_setting,symbol,entry_order_id,entry_time,entry_date,entry_price,quantity,entry_cost,status,decision_rank,allocated_unrealized_est,age_days_to_fy_end
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,ABBV,199,2025-10-01T13:32:00Z,2025-10-01,234.292088,18.000000,4217.26,open,134.000,-612.72,91
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,GOOGL,244,2025-11-25T14:32:00Z,2025-11-25,323.284662,13.000000,4202.70,open,9.000,-610.61,36
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,V,159,2025-07-31T13:31:00Z,2025-07-31,349.664745,12.000000,4195.98,open,43.000,-609.63,153
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,MA,207,2025-08-26T13:31:00Z,2025-08-26,593.616660,7.000000,4155.32,open,75.000,-609.26,127
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,META,177,2025-08-13T13:31:00Z,2025-08-13,790.915160,5.000000,3954.58,open,8.000,-604.99,140
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,TSLA,261,2025-12-17T14:31:00Z,2025-12-17,493.236495,8.000000,3945.89,open,3.000,-603.66,14
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,NFLX,138,2025-06-27T13:31:00Z,2025-06-27,1310.267406,3.000000,3930.80,open,24.000,-601.36,187
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,JPM,197,2025-09-26T16:57:00Z,2025-09-26,317.708775,13.000000,4130.21,open,49.000,-600.08,96
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,CRM,51,2025-01-29T14:36:00Z,2025-01-29,355.042433,11.000000,3905.47,open,33.000,-597.48,336
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,AVGO,253,2025-12-11T19:16:00Z,2025-12-11,407.738767,10.000000,4077.39,open,13.000,-592.40,20
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,HD,40,2025-01-28T14:31:00Z,2025-01-28,420.790290,9.000000,3787.11,open,70.000,-579.37,337
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,TSLA,297,2025-12-17T14:31:00Z,2025-12-17,493.236495,8.000000,3945.89,open,3.000,-578.56,14
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,NFLX,129,2025-06-27T16:06:00Z,2025-06-27,1326.683010,3.000000,3980.05,open,24.000,-578.26,187
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,META,169,2025-08-13T13:31:00Z,2025-08-13,790.915160,5.000000,3954.58,open,8.000,-574.56,140
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,CRM,71,2025-01-29T14:36:00Z,2025-01-29,355.042433,11.000000,3905.47,open,33.000,-572.63,336
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,PG,95,2025-03-04T16:31:00Z,2025-03-04,177.768840,21.000000,3733.15,open,100.000,-571.12,302
