variant_id,base_module,scanner_setting,ret_pct,dd_pct,orders,summary_realized_net,summary_unrealized,buy_entries,closed_trades,open_lots,closed_pnl_sum,allocated_open_unrealized_est,avg_mfe_pct,avg_mae_pct,avg_giveback_pct,avg_duration_days,avg_decision_rank,exit_reason_counts,worst_closed_symbol,worst_closed_pnl,worst_open_symbol,worst_open_unrealized_est,open_symbols
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,12.89,17.3,304,23404.53,-10230.71,162,142,20,23404.53,-10230.71,0.058,-0.097,0.017,35.552,28.438,giveback:65;target:32;unknown:45,GOOGL,-167.73,ORCL,-556.87,AAPL ABBV AMD AMZN AVGO COST CRM GOOGL HD JPM LLY MA META MRK MSFT NVDA ORCL PG TSLA UNH
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,12.872,17.1,262,23466.43,-10354.65,142,120,22,23466.43,-10354.65,0.061,-0.080,0.009,39.311,26.810,giveback:2;target:56;unknown:62,TSLA,-799.20,NVDA,-518.45,AAPL ABBV AMD AMZN AVGO COST CRM GOOGL HD JPM LLY MA META MRK MSFT NVDA ORCL PG TSLA UNH V XOM
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,12.352,17.0,229,22095.78,-9536.02,125,104,21,22095.78,-9536.02,0.081,-0.086,0.028,44.723,26.240,giveback:36;target:14;unknown:54,TSLA,-607.26,NVDA,-503.59,AAPL ABBV AMD AMZN AVGO COST CRM GOOGL HD JPM LLY MA META MRK MSFT NVDA ORCL PG UNH V XOM
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,10.587,17.4,299,24625.93,-13763.36,161,138,23,24625.93,-13763.36,0.061,-0.087,0.016,37.318,27.901,giveback:43;target:24;unknown:71,MA,-53.60,AMZN,-664.04,AAPL ABBV AMD AMZN AVGO COST CRM GOOGL HD JPM LLY MA META MRK MSFT NFLX NVDA ORCL PG TSLA UNH V XOM
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,10.346,17.4,255,23923.50,-13345.98,139,116,23,23923.50,-13345.98,0.078,-0.104,0.025,42.974,24.273,giveback:55;target:34;unknown:27,TSLA,-607.26,AMZN,-658.00,AAPL ABBV AMD AMZN AVGO COST CRM GOOGL HD JPM LLY MA META MRK MSFT NFLX NVDA ORCL PG TSLA UNH V XOM
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,9.73,17.7,263,23964.53,-13994.74,143,120,23,23964.53,-13994.74,0.065,-0.087,0.008,42.669,27.573,giveback:2;target:40;unknown:78,TSLA,-651.18,XOM,-691.10,AAPL ABBV AMD AMZN AVGO COST CRM GOOGL HD JPM LLY MA META MRK MSFT NFLX NVDA ORCL PG TSLA UNH V XOM
