window,start,end,sharpe,net_profit_pct,max_dd_pct,total_orders,bt_dir
W1,2025-1-1,2025-2-28,-12.988,-0.034,0.200,2,algorithm/v2_champion_entry/backtests/2026-05-31_18-38-14
W2,2025-3-1,2025-4-30,0,0,0,0,algorithm/v2_champion_entry/backtests/2026-05-31_18-38-53
W3,2025-5-1,2025-6-30,-4.784,0.396,0.200,1,algorithm/v2_champion_entry/backtests/2026-05-31_18-39-19
W4,2025-7-1,2025-8-31,-6.187,0.265,0.200,3,algorithm/v2_champion_entry/backtests/2026-05-31_18-39-47
W5,2025-9-1,2025-10-31,-6.177,0.214,0.300,3,algorithm/v2_champion_entry/backtests/2026-05-31_18-40-21
W6,2025-11-1,2025-12-31,-12.657,-0.047,0.200,1,algorithm/v2_champion_entry/backtests/2026-05-31_18-40-59
