variant_id,family,wave,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,run_dir,result_path,error
industry_top3_focus,industry_warmup,1,Only the strongest three industries get ranking preference.,9dd32f0fc86e,fy2025_full,True,1.025,27.695,19.4,72,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/9dd32f0fc86e/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/9dd32f0fc86e/fy2025_full/backtests/2026-06-09_03-17-02/1790216725.json,
industry_top8_broad,industry_warmup,1,Broader industry set tests whether George's weekly scan should stay inclusive.,5368ee5670eb,fy2025_full,True,1.025,27.695,19.4,72,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/5368ee5670eb/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/5368ee5670eb/fy2025_full/backtests/2026-06-09_03-17-44/1605691215.json,
industry_bct_share_heavy,industry_warmup,1,Favor industries with more BCT-qualified constituents.,95caf3a2696c,fy2025_full,True,1.025,27.695,19.4,72,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/95caf3a2696c/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/95caf3a2696c/fy2025_full/backtests/2026-06-09_03-18-27/1190630733.json,
industry_attention_boost,industry_warmup,1,Let George transcript attention move industry scores strongly.,074fc7efd879,fy2025_full,True,0.983,26.343,20.2,74,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/074fc7efd879/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/074fc7efd879/fy2025_full/backtests/2026-06-09_03-16-23/1996135077.json,
industry_proxy_off,industry_warmup,1,Turn off proxy ETF contribution to test stock-only industry heat.,c3b9b2ee4056,fy2025_full,True,1.025,27.695,19.4,72,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/c3b9b2ee4056/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/c3b9b2ee4056/fy2025_full/backtests/2026-06-09_03-35-55/1736150798.json,
industry_proxy_boost,industry_warmup,1,Double proxy ETF contribution for rotation-led industries.,f223abc1af04,fy2025_full,True,1.025,27.695,19.4,72,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/f223abc1af04/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/f223abc1af04/fy2025_full/backtests/2026-06-09_03-37-13/1258765034.json,
