variant_id,family,wave,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,run_dir,result_path,error
exit_kijun_phase3_base,exit_management,5,Kijun G3 structural exit control.,8d5df2b30af1,fy2025_full,True,0.984,27.813,20.2,74,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/8d5df2b30af1/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/8d5df2b30af1/fy2025_full/backtests/2026-06-09_05-01-51/1139773614.json,
exit_cloud_adherence,exit_management,5,Hold recoverable Kijun dips until cloud-bottom adherence breaks.,52250de26fd3,fy2025_full,True,0.984,27.813,20.2,74,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/52250de26fd3/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/52250de26fd3/fy2025_full/backtests/2026-06-09_05-02-36/1158882868.json,
exit_weekly_kijun,exit_management,5,Add weekly Kijun as a higher-timeframe structural stop.,e80be68bffbb,fy2025_full,True,0.984,27.813,20.2,74,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/e80be68bffbb/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/e80be68bffbb/fy2025_full/backtests/2026-06-09_05-19-28/1552787308.json,
exit_proactive_target_06,exit_management,5,Take strength at +6% if the structure remains bullish.,392481b405a6,fy2025_full,True,0.984,27.813,20.2,74,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/392481b405a6/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/392481b405a6/fy2025_full/backtests/2026-06-09_05-21-23/1907601651.json,
exit_proactive_giveback_tight,exit_management,5,Tighter MFE giveback capture for winners that stall.,4d38649cde20,fy2025_full,True,0.984,27.813,20.2,74,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/4d38649cde20/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/4d38649cde20/fy2025_full/backtests/2026-06-09_05-38-52/1226490454.json,
exit_scratch_flat_3d,exit_management,5,Scratch stalled trades near flat after three days without useful MFE.,dfc65d904d4c,fy2025_full,True,0.984,27.813,20.2,74,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/dfc65d904d4c/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/dfc65d904d4c/fy2025_full/backtests/2026-06-09_05-40-00/1171158188.json,
