feature,qc_status,deployability_class,safe_for_qc_handoff,used_in_feature_sets,handoff_note
w_cloud_green,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
w_tenkan_gt_kijun,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
w_chikou_ok,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
w_price_above_cloud,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
w_price_inside_cloud,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
w_price_below_cloud,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
w_cloud_distance_pct,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
w_tenkan_extension_pct,qc_ranker_feature,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
candidate_source,non_deployable_george_evidence,,,,
source_kind,non_deployable_george_evidence,,,,
source_confidence,non_deployable_george_evidence,,,,
pct_change_text,non_deployable_george_evidence,,,,
george_notes,non_deployable_george_evidence,,,,
ocr_confidence_avg,non_deployable_george_evidence,,,,
ocr_observation_index,non_deployable_george_evidence,,,,
ocr_text_path,non_deployable_george_evidence,,,,
post_id,non_deployable_george_evidence,,,,
source_path,non_deployable_george_evidence,,,,
day_dv_rank_all,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
adv20_rank_all,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
price_floor,blocked_local_massive_only,local_massive_only,False,"local_real_data,offline_oof_research,research_with_bct_attention",review before QC handoff
universe_date,unclassified_or_unused,,,,
d_span_a,clean_available_not_used,qc_cloud_deployable,True,"qc_cloud_deployable,local_real_data,offline_oof_research,research_with_bct_attention",safe to hand to kumo-qc after normal QC data-availability checks
