feature,qc_status,deployability_class,safe_for_qc_handoff,used_in_feature_sets,handoff_note
sector_bct6_pct,blocked_tc2000_mapping,tc2000_mapping_required,False,"local_real_data,offline_oof_research,research_with_bct_attention",needs a TC2000-compatible sector/industry mapping before QC handoff
sector_bct7_pct,blocked_tc2000_mapping,tc2000_mapping_required,False,"local_real_data,offline_oof_research,research_with_bct_attention",needs a TC2000-compatible sector/industry mapping before QC handoff
sector_positive_return_pct,blocked_tc2000_mapping,tc2000_mapping_required,False,"local_real_data,offline_oof_research,research_with_bct_attention",needs a TC2000-compatible sector/industry mapping before QC handoff
industry_key,unclassified_or_unused,,,,
industry_denominator_count,unclassified_or_unused,,,,
industry_bct6_count,blocked_tc2000_mapping,tc2000_mapping_required,False,"local_real_data,offline_oof_research,research_with_bct_attention",needs a TC2000-compatible sector/industry mapping before QC handoff
industry_bct7_count,blocked_tc2000_mapping,tc2000_mapping_required,False,"local_real_data,offline_oof_research,research_with_bct_attention",needs a TC2000-compatible sector/industry mapping before QC handoff
industry_positive_return_count,blocked_tc2000_mapping,tc2000_mapping_required,False,"local_real_data,offline_oof_research,research_with_bct_attention",needs a TC2000-compatible sector/industry mapping before QC handoff
industry_median_day_return_pct,blocked_tc2000_mapping,tc2000_mapping_required,False,"local_real_data,offline_oof_research,research_with_bct_attention",needs a TC2000-compatible sector/industry mapping before QC handoff
industry_median_rel_volume20,blocked_tc2000_mapping,tc2000_mapping_required,False,"local_real_data,offline_oof_research,research_with_bct_attention",needs a TC2000-compatible sector/industry mapping before QC handoff
industry_bct6_pct,blocked_tc2000_mapping,tc2000_mapping_required,False,"local_real_data,offline_oof_research,research_with_bct_attention",needs a TC2000-compatible sector/industry mapping before QC handoff
industry_bct7_pct,blocked_tc2000_mapping,tc2000_mapping_required,False,"local_real_data,offline_oof_research,research_with_bct_attention",needs a TC2000-compatible sector/industry mapping before QC handoff
industry_positive_return_pct,blocked_tc2000_mapping,tc2000_mapping_required,False,"local_real_data,offline_oof_research,research_with_bct_attention",needs a TC2000-compatible sector/industry mapping before QC handoff
