variant_id,family,wave,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,run_dir,result_path,error
carry_3_ttl5,watchlist_carry,2,"Tiny carry list, short memory.",8e1a6c293781,fy2025_full,True,1.025,27.695,19.4,72,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/8e1a6c293781/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/8e1a6c293781/fy2025_full/backtests/2026-06-09_03-40-12/1960235635.json,
carry_5_ttl10,watchlist_carry,2,Moderate carry list with one-to-two week memory.,76319726f32b,fy2025_full,True,1.025,27.695,19.4,72,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/76319726f32b/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/76319726f32b/fy2025_full/backtests/2026-06-09_03-40-57/1533346996.json,
carry_10_ttl10,watchlist_carry,2,"Default full carry candidate: ten carried names, normal memory.",8f7b407a82e4,fy2025_full,True,1.025,27.695,19.4,72,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/8f7b407a82e4/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/8f7b407a82e4/fy2025_full/backtests/2026-06-09_04-01-58/1739249732.json,
carry_15_ttl20,watchlist_carry,2,Large and patient carry list tests whether George's older finds still matter.,1cd7a915b3a5,fy2025_full,True,1.025,27.695,19.4,72,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/1cd7a915b3a5/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/1cd7a915b3a5/fy2025_full/backtests/2026-06-09_04-03-14/1574704942.json,
carry_liquid_strict,watchlist_carry,2,Carry only very liquid names to avoid stale small-cap subscription noise.,4e526e63b2e4,fy2025_full,True,1.025,27.695,19.4,72,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/4e526e63b2e4/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/4e526e63b2e4/fy2025_full/backtests/2026-06-09_04-22-53/1817452383.json,
carry_price_loose,watchlist_carry,2,Permit lower-priced carried names where George often hunts momentum.,6ee58a19ed64,fy2025_full,True,1.025,27.695,19.4,72,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/6ee58a19ed64/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/6ee58a19ed64/fy2025_full/backtests/2026-06-09_04-23-46/1176121420.json,
