variant_id,family,config_hash,result_path,status,symbol,qty,entry_order_id,exit_order_id,entry_time,exit_time,duration_days,entry_price,exit_price,pnl,return_pct,entry_tag,exit_tag,exit_event,exit_reason,censored
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,closed,JPM,16.0,10,24,1736865060.0,1737469860.0,,243.9969375,259.939895,255.08731999999964,0.06534080986159907,decision_gap=-0.0012&decision_vol=11.366&decision_tdist=0.0000&decision_rank=37,,,,False
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,closed,META,6.0,19,26,1736865360.0,1737988260.0,,601.76073,626.2936425,147.1974750000004,0.040768550151154104,decision_gap=-0.0107&decision_vol=3.528&decision_tdist=0.0000&decision_rank=10,,,,False
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,closed,HD,10.0,14,28,1736865060.0,1738074660.0,,390.5301675,423.02971,324.9954250000002,0.08321903198425762,decision_gap=0.0030&decision_vol=3.064&decision_tdist=0.0000&decision_rank=64,,,,False
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,closed,MA,7.0,15,29,1736865060.0,1738074660.0,,504.642195,546.2674,291.37643499999956,0.08248459088919424,decision_gap=-0.0012&decision_vol=5.310&decision_tdist=0.0000&decision_rank=70,,,,False
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,closed,V,13.0,11,30,1736865060.0,1738074660.0,,307.73379,334.503145,348.00161500000024,0.08698867615415273,decision_gap=0.0025&decision_vol=3.581&decision_tdist=0.0000&decision_rank=42,,,,False
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,closed,AMZN,18.0,4,34,1736865060.0,1738161060.0,,220.105998,238.89606305,338.2211709000002,0.08536825538938753,decision_gap=0.0068&decision_vol=7.177&decision_tdist=0.0000&decision_rank=11,,,,False
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,closed,CRM,12.0,22,35,1736872860.0,1738161060.0,,323.791815,358.582815,417.49199999999996,0.10744867037482098,decision_gap=0.0145&decision_vol=4.052&decision_tdist=0.0000&decision_rank=38,,,,False
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,closed,MSFT,9.0,3,36,1736865060.0,1738161060.0,,418.599195,446.4685875,250.82453250000003,0.06657774986882137,decision_gap=0.0028&decision_vol=5.646&decision_tdist=0.0000&decision_rank=9,,,,False
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,closed,NFLX,4.0,8,37,1736865060.0,1738161060.0,,843.2564175,979.5102175,545.0151999999998,0.16158050762774057,decision_gap=0.0030&decision_vol=3.026&decision_tdist=0.0000&decision_rank=26,,,,False
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,closed,META,6.0,27,42,1737990360.0,1738333860.0,,641.0929863,690.6543575,297.36822719999964,0.07730761723979884,decision_gap=-0.0103&decision_vol=5.191&decision_tdist=0.0000&decision_rank=6,,,,False
