variant_id,config_hash,result_path,order_id,symbol,quantity,price,status,time,last_fill_time,tag,type
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,19,META,6.0,601.76073,filled,1736865360.0,1736865360.0,decision_gap=-0.0107&decision_vol=3.528&decision_tdist=0.0000&decision_rank=10,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,20,NVDA,29.0,134.897415,filled,1736865960.0,1736865960.0,decision_gap=0.0119&decision_vol=3.900&decision_tdist=0.0000&decision_rank=2,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,21,TSLA,9.0,409.59459495,filled,1736868960.0,1736868960.0,decision_gap=0.0149&decision_vol=5.817&decision_tdist=0.0000&decision_rank=0,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,22,CRM,12.0,323.791815,filled,1736872860.0,1736872860.0,decision_gap=0.0145&decision_vol=4.052&decision_tdist=0.0000&decision_rank=38,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,23,LLY,5.0,745.582605,filled,1736951460.0,1736951460.0,decision_gap=0.0010&decision_vol=7.684&decision_tdist=0.0000&decision_rank=25,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,24,JPM,-16.0,259.939895,filled,1737469860.0,1737469860.0,,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,25,JPM,15.0,260.340105,filled,1737469860.0,1737469860.0,decision_gap=0.0031&decision_vol=5.829&decision_tdist=0.0000&decision_rank=28,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,26,META,-6.0,626.2936425,filled,1737988260.0,1737988260.0,,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,27,META,6.0,641.0929863,filled,1737990360.0,1737990360.0,decision_gap=-0.0103&decision_vol=5.191&decision_tdist=0.0000&decision_rank=6,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,28,HD,-10.0,423.02971,filled,1738074660.0,1738074660.0,,
