scan_date,symbol,source_tags,kumo_rank_by_score,kumo_score,label_entry_gap_pct,label_outcome_20d,label_ret_20d_close_pct,label_mfe_20d_pct,label_mae_20d_pct,label_t4_s2_20d_outcome
2025-10-10,MP,kumo_scanner;kumo_top_n,2.0,8.0,10.4747,bad_trade,-32.2581,15.496,-41.8203,target_before_stop
2025-06-23,APG,kumo_scanner;kumo_top_n,8.0,8.0,0.2569,bad_trade,-32.2295,1.6558,-35.5411,stop_before_target
2025-06-20,APG,kumo_scanner;kumo_top_n,17.0,8.0,-0.3709,bad_trade,-32.0533,1.0972,-35.9326,stop_before_target
2025-10-15,APLD,kumo_scanner;kumo_top_n,8.0,8.0,1.4589,bad_trade,-31.7582,5.098,-33.281,ambiguous_same_day
2025-07-31,HIMS,kumo_scanner;kumo_top_n,9.0,8.0,-2.7267,bad_trade,-31.6093,2.5244,-36.6113,stop_before_target
2025-12-31,ESHA,kumo_scanner;kumo_top_n,17.0,8.0,-5.0535,bad_trade,-31.5686,1.3236,-32.2444,stop_before_target
2026-02-26,GDXJ,kumo_scanner;kumo_top_n,17.0,8.0,0.6134,bad_trade,-31.4806,2.1402,-33.2771,stop_before_target
2025-10-13,SERV,kumo_scanner;kumo_top_n,20.0,8.0,-5.5185,bad_trade,-31.4454,19.6406,-37.5802,ambiguous_same_day
2026-01-27,APLD,kumo_scanner;kumo_top_n,16.0,8.0,1.2978,bad_trade,-30.5338,0.2847,-34.4721,stop_before_target
2026-01-29,AGQ,kumo_scanner;kumo_top_n,5.0,8.0,-30.2911,bad_trade,-30.4577,7.3077,-58.7638,ambiguous_same_day
2025-10-09,RKLB,kumo_scanner;kumo_top_n,8.0,8.0,6.5944,bad_trade,-29.4774,4.4774,-30.2119,stop_before_target
2025-11-12,XPEV,kumo_scanner;kumo_top_n,16.0,8.0,-1.1848,bad_trade,-28.9366,2.1489,-31.2894,stop_before_target
2025-10-10,LEU,kumo_scanner;kumo_top_n,9.0,8.0,11.9953,bad_trade,-28.7106,11.9322,-38.7574,stop_before_target
