scope,indicator,bucket,closed_trades,win_rate,win_rate_ci_low,win_rate_ci_high,avg_return_pct,median_return_pct,avg_duration_days,total_pnl,sample_confidence
all,decision_rank,rank_000_024,9674,0.5185032044655778,0.508540903359852,0.5284508159507844,0.8719590787170959,0.11747095941973999,10.70495084189006,329609.71530800004,high
all,decision_rank,rank_025_049,3369,0.4793707331552389,0.4625341907855439,0.49625426818033225,0.7108595026940178,-0.06333602806655,10.933796914679595,94233.25118875,high
all,decision_rank,rank_050_099,5767,0.4333275533206173,0.4205865662728394,0.4461573069258289,0.06812023840091688,-0.1031927801424,7.049075318382367,7744.098270600055,high
all,decision_rank,rank_100_249,1883,0.5209771640998406,0.49839327807541134,0.5434756313232366,0.48025750650289684,0.07479808823716,7.528517215436361,39801.816258700055,high
family:anchor,decision_rank,rank_000_024,1727,0.5338737695425594,0.5102968101311776,0.557300363405673,1.03373298608506,0.18408140659014,12.050625683587466,68375.93023955,high
family:anchor,decision_rank,rank_025_049,583,0.5094339622641509,0.4689249722885696,0.5498194384689501,0.7954867222492484,0.030707385609570002,12.661645940537449,17739.68420659999,high
family:anchor,decision_rank,rank_050_099,1018,0.4292730844793713,0.3991887535176216,0.45988920925077614,0.12920695867570076,-0.1031927801424,7.62130266317398,4162.7647963000145,high
family:anchor,decision_rank,rank_100_249,346,0.5260115606936416,0.4734010370795846,0.5780508199894433,0.46198864123841404,0.07558552437338001,7.390263728323699,6444.685802500007,medium
family:entry_trigger,decision_rank,rank_000_024,2247,0.4971072541165999,0.4764561851856807,0.5177681973741581,0.6147310028243039,-0.01416184866642,9.065896503980616,51425.091140300035,high
family:entry_trigger,decision_rank,rank_025_049,864,0.44907407407407407,0.41620533210746946,0.48239367490026097,0.5187131843900294,-0.15836760869365,9.55347382973251,17086.569831699995,high
family:entry_trigger,decision_rank,rank_050_099,1293,0.4276875483372003,0.4009736244309108,0.45482989081721215,0.048702113893104665,-0.15577782121556,6.861296403712297,1214.2425187000144,high
family:entry_trigger,decision_rank,rank_100_249,400,0.5375,0.4885129330720267,0.5857736188829973,0.5344573932718703,0.12268038831110999,8.278671875,8741.65681070001,medium
family:exit_target,decision_rank,rank_000_024,444,0.8648648648648649,0.829917725315253,0.8935523587501846,5.32249095716863,5.107926949009595,43.720916228728726,94788.97110945,medium
family:exit_target,decision_rank,rank_025_049,143,0.8601398601398601,0.7938323518793072,0.9076037534205533,5.5304081065299675,6.11104378546216,38.18121114996115,30573.97569585,medium
family:exit_target,decision_rank,rank_050_099,124,0.5967741935483871,0.5087811687903511,0.6789511499540951,1.655599719139754,0.14872306884210001,36.3870127688172,7915.416442800005,medium
family:exit_target,decision_rank,rank_100_249,70,0.7,0.584554617438188,0.7946354326148984,2.40594375069417,0.994976029223285,29.18035714285714,6627.624635099997,low
