symbol,closed_trades,variant_count,win_rate,avg_return_pct,median_return_pct,total_pnl,avg_duration_days,sample_confidence
AVGO,1427,30,0.5374912403644009,1.3680096626473623,0.26160898858287,78256.60234830002,6.979597348750293,high
AMD,1112,30,0.5224820143884892,1.713686450107473,0.37746473865765,77823.51790959998,8.596460331734612,high
ORCL,1218,30,0.45320197044334976,1.4637882046610713,-0.5282870576359501,69977.12890980004,7.434900109469074,high
GOOGL,894,30,0.5447427293064877,1.6223096518089868,0.20077566779665001,62668.14055969997,11.418515411384538,high
NVDA,623,30,0.622792937399679,1.3668012577050577,0.53127655596643,36692.85484525003,14.711861289459605,high
LLY,582,30,0.5223367697594502,1.405055525475379,0.19705407701238,32451.54639119999,17.19159865406644,high
TSLA,496,30,0.5403225806451613,1.5433026690614542,0.34552658308104,30907.695705999962,20.95635920698925,medium
ABBV,1122,30,0.5686274509803921,0.5663426560196885,0.15345449816971002,27802.274669500042,7.648228609625669,high
JPM,817,30,0.5703794369645043,0.8232586135339126,0.25595886537719004,27026.93603944996,12.27720828233374,high
MSFT,1024,30,0.546875,0.6273985486104829,0.139569197048225,24295.645224000076,8.11873033311632,high
AMZN,664,30,0.4939759036144578,0.6350610373475717,-0.053146552031815,18274.50169285001,13.83480798192771,high
META,989,30,0.36804853387259856,0.5320511429723978,-0.45781951317863,16786.11371210001,8.541947533984946,high
AAPL,614,30,0.5390879478827362,0.36092404547117823,0.03905655564346,9388.89045229998,16.714282482808542,high
UNH,328,30,0.5884146341463414,0.7398221987026657,0.15982807119707,8590.95778194999,11.016461297425474,medium
XOM,801,30,0.5305867665418227,0.15947230549791178,0.08343516462192,4454.0642225000065,11.533161672908864,high
MA,1238,30,0.44426494345718903,0.10377860079272966,-0.14051981750936499,2393.579163800052,7.747579541374978,high
PG,386,29,0.43523316062176165,0.11561296890330648,-0.24117133694100001,2159.3175176500154,7.920156879677605,medium
COST,974,30,0.4086242299794661,0.05886035906171093,-0.09981601705002,1964.8195208499787,7.619984171800137,high
MRK,972,29,0.5113168724279835,-0.00790840015916819,0.03934912692125,1387.6978014500023,10.200606567215365,high
CRM,540,30,0.4074074074074074,0.06978953741014698,-0.28234316755635996,797.7961839500579,8.289840534979424,high
V,1738,30,0.3993095512082854,-0.016248666612501784,-0.08843076728333,-3020.016721499971,5.356869725738397,high
HD,980,30,0.3846938775510204,-0.1310105813374453,-0.31801884228729,-7317.987270299987,7.249642148526078,high
NFLX,1154,30,0.4809358752166378,-0.8600842142175001,-0.01646023925643,-52373.195634350064,7.213920782784516,high
