variant_id,family,net_profit_pct,drawdown_pct,return_dd_ratio,total_orders,sharpe,closed_trades,open_or_censored_trades,win_rate,win_rate_ci_low,win_rate_ci_high,avg_return_pct,median_return_pct,avg_pnl,median_pnl,total_trade_pnl,profit_factor,avg_duration_days,median_duration_days,p90_duration_days,avg_decision_rank,median_decision_rank,avg_decision_gap_pct,avg_decision_vol,avg_decision_tdist,sample_confidence
volrisk_125,risk_stack,11.897,34.9,0.34088825214899715,1870,0.404,922,23,0.46746203904555317,0.43545748225419667,0.4997366157426961,0.3314840588890802,-0.077423461072745,20.51148752754883,-7.091280000000282,18911.59150040002,1.2235841203891638,7.79403169438419,4.0,15.0,43.41106290672451,33.0,0.048915401301518446,5.777022776572668,0.0,high
giveback_tight_no_bull,exit_target,10.96,17.6,0.6227272727272727,257,0.569,117,23,0.9316239316239316,0.8708561789839089,0.9649487093988998,5.312810091631719,5.83661080128348,212.09465430299147,226.2648000000004,24815.074553450002,27.941275013592833,46.0519646248813,18.979166666666668,144.5583333333334,26.615384615384617,14.0,0.22076923076923077,5.549974358974358,0.0,medium
target_08_let_run,exit_target,10.33,17.7,0.5836158192090396,223,0.53,100,23,0.89,0.8136853697209698,0.9374586804477487,5.8934236285593125,6.251290613290879,233.79544207150005,245.05662975000018,23379.544207150004,19.74807618496989,51.30916666666668,26.020833333333336,146.05833333333334,22.41,12.0,0.30740000000000006,5.91041,0.0,medium
p_only_tight_giveback,anchor,10.292,17.4,0.5914942528735633,326,0.535,151,23,0.7880794701986755,0.7161666437117767,0.8456978681506685,4.0394867237572445,3.26628954628616,159.9325161307947,134.38057499999996,24149.809935750003,15.863100063814754,36.97997148638704,13.0,110.95833333333331,32.09271523178808,18.0,0.07417218543046358,5.742324503311258,0.0,medium
target_04_fast_take,exit_target,10.196,17.8,0.572808988764045,245,0.527,111,23,0.9819819819819819,0.9366731979162646,0.9950449251332227,5.51645815814096,5.00277257860248,219.6961659698198,198.6641999999997,24386.274422649996,224.16564790931483,47.966810560560575,20.0,150.95833333333334,26.63063063063063,14.0,0.19612612612612612,6.32526126126126,0.0,medium
p_only_base,anchor,10.118,17.3,0.5848554913294798,243,0.526,110,23,0.8545454545454545,0.7767209782912426,0.9084415633455579,5.388670882113019,6.08002392468569,212.52155339727275,236.2181675,23377.3708737,58.12593862398849,47.45669191919192,18.5,153.45833333333354,30.836363636363636,19.5,0.18609090909090908,5.9398636363636355,0.0,medium
volrisk_075,risk_stack,10.087,26.8,0.3763805970149254,1870,0.393,922,23,0.46746203904555317,0.43545748225419667,0.4997366157426961,0.3314840588890802,-0.077423461072745,17.047518065564006,-5.0980750000003,15717.811656450012,1.2552059807964353,7.79403169438419,4.0,15.0,43.41106290672451,33.0,0.048915401301518446,5.777022776572668,0.0,high
minpeak_low_03,exit_target,10.012,17.1,0.5854970760233917,478,0.523,227,23,0.6475770925110133,0.5834444157298417,0.706797897614027,2.6236887677986207,0.96101101521626,104.06948988325992,39.94940000000045,23623.7742035,6.14100594823309,24.532764317180618,5.0,71.56666666666669,36.88986784140969,21.0,0.09096916299559472,5.690828193832599,0.0,medium
giveback_loose_04,exit_target,9.957,17.3,0.5755491329479769,259,0.517,118,23,0.8135593220338984,0.7338149229966568,0.8735310081138998,4.937176593787319,5.9682308499651295,194.57946523516952,223.64221875000032,22960.376897750004,37.20466106327729,45.08715866290019,17.0,150.25833333333333,30.991525423728813,20.5,0.15093220338983052,5.943559322033898,0.0,medium
target_10_patient_giveback,exit_target,9.64,18.2,0.5296703296703297,239,0.487,108,23,0.7407407407407407,0.6508333329885407,0.8141099439316748,4.873264670841659,1.946357621382235,192.0457740620371,78.55512875,20740.943598700007,9.00419619175646,43.46370241769547,16.5,138.6583333333333,58.68518518518518,49.0,0.19444444444444445,5.468157407407408,0.0,medium
