variant_id,family,wave,base_module,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,realized_net,unrealized,closed_trades,closed_wins,closed_losses,closed_win_rate,artifact_path,artifact_sha256,run_dir,result_path,error
rankaware_top20_gate_control,rank_aware_control,4,strategies.champion_intraday_gapvol,Control: LambdaMART Top-20 gate with current gap/loud-open intraday confirm.,90f501618cf2,fy2025_full,True,1.065,29.133,18.8,78,-17328.77,"$46,510.78",23,0,23,0.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_aware_intraday_fy2025_469/90f501618cf2/fy2025_full,sweeps/runs/rank_aware_intraday_fy2025_469/90f501618cf2/fy2025_full/backtests/2026-06-11_01-21-18/1680897244.json,
rankaware_top20_bucket_default,rank_aware_entry,4,strategies.champion_intraday_gapvol,Top20: ranks 1-10 can pass looser gap/open-volume; ranks 11-20 use canonical confirmation.,58e33e3c5a30,fy2025_full,True,1.026,28.601,19.0,80,-18698.37,"$47,349.75",24,0,24,0.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_aware_intraday_fy2025_469/58e33e3c5a30/fy2025_full,sweeps/runs/rank_aware_intraday_fy2025_469/58e33e3c5a30/fy2025_full/backtests/2026-06-11_01-20-46/1879674792.json,
rankaware_top20_bucket_strict_mid,rank_aware_entry,4,strategies.champion_intraday_gapvol,Top20: top ranks are only slightly looser; ranks 11-20 require stronger gap and volume.,bd009c3ac4da,fy2025_full,True,0.775,20.585,19.5,76,-20972.97,"$41,603.65",22,0,22,0.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_aware_intraday_fy2025_469/bd009c3ac4da/fy2025_full,sweeps/runs/rank_aware_intraday_fy2025_469/bd009c3ac4da/fy2025_full/backtests/2026-06-11_01-21-52/1540258711.json,
rankaware_top20_top5_only_loose,rank_aware_entry,4,strategies.champion_intraday_gapvol,Top20: only ranks 1-5 get easier confirmation; ranks 6-20 must prove stronger intraday demand.,ead2672f60a8,fy2025_full,True,0.953,26.047,19.5,84,-19116.27,"$45,218.19",25,0,25,0.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_aware_intraday_fy2025_469/ead2672f60a8/fy2025_full,sweeps/runs/rank_aware_intraday_fy2025_469/ead2672f60a8/fy2025_full/backtests/2026-06-11_01-41-58/1419877486.json,
rankaware_top50_gate_control,rank_aware_control,4,strategies.champion_intraday_gapvol,Control: LambdaMART Top-50 gate with current gap/loud-open intraday confirm.,76a95ffb70ce,fy2025_full,True,0.995,25.676,19.8,72,-16645.32,"$42,363.59",20,0,20,0.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_aware_intraday_fy2025_469/76a95ffb70ce/fy2025_full,sweeps/runs/rank_aware_intraday_fy2025_469/76a95ffb70ce/fy2025_full/backtests/2026-06-11_01-42-40/1444393385.json,
rankaware_top50_bucket_default,rank_aware_entry,4,strategies.champion_intraday_gapvol,"Top50: keep breadth, but ranks beyond 20 need strong gap and volume confirmation.",cd78dbfe08b3,fy2025_full,True,1.038,27.473,19.7,74,-16324.99,"$43,840.40",21,0,21,0.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_aware_intraday_fy2025_469/cd78dbfe08b3/fy2025_full,sweeps/runs/rank_aware_intraday_fy2025_469/cd78dbfe08b3/fy2025_full/backtests/2026-06-11_01-43-15/1204509989.json,
rankaware_top50_tail_strict,rank_aware_entry,4,strategies.champion_intraday_gapvol,Top50: lower-ranked names require a very strong gap and louder opening volume.,43292b012de3,fy2025_full,True,1.038,27.473,19.7,74,-16324.99,"$43,840.40",21,0,21,0.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_aware_intraday_fy2025_469/43292b012de3/fy2025_full,sweeps/runs/rank_aware_intraday_fy2025_469/43292b012de3/fy2025_full/backtests/2026-06-11_02-03-20/1684291867.json,
rankaware_top50_mid30_tail,rank_aware_entry,4,strategies.champion_intraday_gapvol,Top50: ranks 11-30 use canonical confirmation; only ranks 31-50 get the strict tail gate.,11bea3871e72,fy2025_full,True,0.827,22.135,20.9,80,-17794.12,"$39,975.62",23,0,23,0.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_aware_intraday_fy2025_469/11bea3871e72/fy2025_full,sweeps/runs/rank_aware_intraday_fy2025_469/11bea3871e72/fy2025_full/backtests/2026-06-11_02-03-58/1647557292.json,
