backtest_id,symbol,entry_dt,year,decision_score,cond_0,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6,cond_7,decision_gap,decision_vol,decision_rank,decision_tdist,exit_reason,censored,context_status,ret,pnl,m2m_ret,m2m_source
3c9cb7b801efb1e89a53486730fb2cd8,ATI,2025-05-27T19:51:00+00:00,2025,7,True,False,True,True,True,True,True,True,0.0485,1.357,,0.0,censored_open,True,OK,0.44614462542391053,4001.368985000001,0.44614462542391053,local_parquet
3c9cb7b801efb1e89a53486730fb2cd8,CW,2025-05-27T19:50:00+00:00,2025,7,True,False,True,True,True,True,True,True,0.0389,2.717,,0.0,censored_open,True,OK,0.2372018924391372,2113.148900000001,0.2372018924391372,local_parquet
3c9cb7b801efb1e89a53486730fb2cd8,KGC,2025-01-14T20:50:00+00:00,2025,8,True,True,True,True,True,True,True,True,0.0482,1.061,,0.0,censored_open,True,OK,1.6664399237442713,16252.908210000001,1.6664399237442713,local_parquet
3c9cb7b801efb1e89a53486730fb2cd8,KLAC,2025-05-13T19:50:00+00:00,2025,7,True,False,True,True,True,True,True,True,0.0461,2.242,,0.0,censored_open,True,OK,0.5252528450950632,4601.874419999998,0.5252528450950632,local_parquet
3c9cb7b801efb1e89a53486730fb2cd8,NTES,2025-05-27T19:51:00+00:00,2025,7,True,True,True,False,True,True,True,True,0.0358,6.063,,0.0,censored_open,True,OK,0.10835892964125753,968.6145599999998,0.10835892964125753,local_parquet
3c9cb7b801efb1e89a53486730fb2cd8,TD,2025-05-22T13:33:00+00:00,2025,8,True,True,True,True,True,True,True,True,0.0325,1.462,,0.0,censored_open,True,OK,0.4072326800343438,3653.0487049999992,0.4072326800343438,local_parquet
3c9cb7b801efb1e89a53486730fb2cd8,VIK,2025-12-15T20:50:00+00:00,2025,8,True,True,True,True,True,True,True,True,0.0343,1.19,,0.0,censored_open,True,OK,0.0031534000683240597,37.706760000000486,0.0031534000683240597,local_parquet
3c9cb7b801efb1e89a53486730fb2cd8,VRNA,2025-05-20T19:51:00+00:00,2025,7,True,True,True,True,True,True,False,True,0.0327,2.994,,0.0,censored_open,True,OK,0.4238060342287445,3818.703,0.4238060342287445,local_parquet
627cdd7298c83d8a5e92ccb2de9781a4,MPC,2024-01-03T20:50:00+00:00,2024,7,True,True,True,True,True,True,False,True,0.0394,1.996,184,0.0,stop_market,False,OK,-0.0626304282546619,-625.1956200000006,,
627cdd7298c83d8a5e92ccb2de9781a4,SHOP,2024-01-09T20:54:00+00:00,2024,7,True,True,True,True,True,True,False,True,0.0302,1.343,115,0.0,stop_market,False,OK,-0.06365564293239567,-632.0955799999996,,
